[00:00.000 --> 00:04.640]  I'm recording.
[11:55.120 --> 11:55.120] 
[11:55.120 --> 11:55.120] 
[11:55.120 --> 11:55.120] 
[11:55.120 --> 11:55.120] 
[11:55.120 --> 11:55.120] 
[11:55.120 --> 11:55.120] 
[11:55.120 --> 11:55.120] 
[11:55.120 --> 11:55.120] 
[11:55.120 --> 12:08.120]  Okay?
[12:08.120 --> 12:15.220]  it just sits there, simulating it in the frequency range of interest.
[12:15.220 --> 12:17.560]  In this case, 10 hertz to 100 kilohertz.
[12:18.100 --> 12:20.040]  All right, 10 hertz to 100 kilohertz.
[12:20.820 --> 12:30.300]  And this parameter here, 50, is how many data points it will do for each and every incrementing frequency.
[12:30.960 --> 12:34.640]  All right, so we can just put our probe here.
[12:34.640 --> 12:39.700]  Okay, and you can take note of the response.
[12:39.940 --> 12:45.480]  One of these plots is the phase, which you don't have to bother with.
[12:46.180 --> 12:53.560]  Okay, the other plot is the gain of the circuit, and it's being described in terms of decibels.
[12:53.740 --> 13:01.460]  Now, you're familiar probably with the concept of decibels, but regardless, if not,
[13:01.460 --> 13:12.900]  well, dB essentially is defined as a ratio of output to input, but it is logarithmically based.
[13:13.520 --> 13:15.500]  Okay, it's logarithmically based.
[13:15.600 --> 13:22.400]  So it's still the same voltage gain, but expressed in a logarithmic set of units.
[13:22.680 --> 13:24.140]  Okay, or a logarithmic unit.
[13:24.140 --> 13:30.480]  So what you can see here is when I click on it, let me just drag this over here.
[13:31.400 --> 13:40.760]  In the frequency range, sorry, in the frequency range at this higher frequency,
[13:41.200 --> 13:49.920]  where our capacitors indeed are pretty much close to zero when it talks about impedance,
[13:49.920 --> 13:55.900]  we see that the gain of the circuit is 5.63 decibels.
[13:57.000 --> 13:58.840]  Okay, 5.63 decibels.
[13:59.600 --> 14:05.880]  And on the other hand, if you look at the 1 kilohertz gain, all right,
[14:05.920 --> 14:12.840]  if you look at the 1 kilohertz gain, which is here, all right,
[14:12.840 --> 14:18.820]  the gain is down at negative 1.96.
[14:19.820 --> 14:28.320]  This is a difference of close to seven decibels, all right, seven dB,
[14:28.900 --> 14:31.840]  which if you take the time or six dB pretty much,
[14:31.840 --> 14:38.320]  which is exactly half the voltage gain, all right?
[14:38.320 --> 14:40.860]  That's exactly half the voltage gain.
[14:40.980 --> 14:43.360]  Six dB is half the voltage gain.
[14:43.900 --> 14:49.700]  So this tells us that at that frequency that we were simulating,
[14:49.900 --> 14:55.280]  which is 1 kilohertz, we really expect that the gain is going to be a lot lower.
[14:55.520 --> 14:59.720]  And that is primarily simply because of this 10 microfarad capacitor
[14:59.720 --> 15:07.080]  not being able to really become a zero ohm impedance.
[15:07.580 --> 15:12.040]  It's at 16 ohms, 15.92, okay?
[15:12.640 --> 15:17.480]  And that's why the gain is much, much lower at 1 kilohertz,
[15:17.480 --> 15:20.640]  which is the frequency that you're simulating at, okay?
[15:21.220 --> 15:21.540]  All right?
[15:21.800 --> 15:23.340]  And so that's the reason for it.
[15:23.440 --> 15:27.460]  Now, take a look at what happens to this curve, all right?
[15:27.460 --> 15:34.180]  This curve here, if I were to do something like change the capacitance value
[15:34.180 --> 15:36.760]  to something like 250 microfarads.
[15:37.280 --> 15:40.460]  Now, this is a significantly higher value.
[15:40.800 --> 15:46.960]  And we would expect essentially that our gain curve, all right,
[15:46.960 --> 15:52.520]  would now remain flat pretty much all the way down to, you know,
[15:52.660 --> 15:55.040]  some much, much lower frequency.
[15:55.180 --> 15:57.440]  It's not going to be that aggressively going down, okay?
[15:57.460 --> 16:03.000]  So it's going to be looking like this with a 250 microfarad capacitor.
[16:03.180 --> 16:04.900]  Let's confirm this, all right?
[16:05.340 --> 16:08.240]  Let's confirm this and rerun the simulation.
[16:08.480 --> 16:08.940]  Okay, so there.
[16:09.320 --> 16:10.140]  There we go, all right?
[16:10.280 --> 16:10.780]  So, yeah.
[16:11.040 --> 16:14.080]  Well, it's hard to estimate exactly what the cutoff frequency is going to be.
[16:14.140 --> 16:17.940]  There's another capacitor here that's probably causing this group.
[16:17.940 --> 16:22.480]  And I would guess that it's this one microfarad over here.
[16:22.480 --> 16:27.320]  So let's change this to a 10 microfarad.
[16:27.320 --> 16:31.660]  And let's rerun the simulation.
[16:31.660 --> 16:32.100]  Okay.
[16:32.100 --> 16:35.420]  So this one brings it up.
[16:35.420 --> 16:35.820]  Oh, yeah.
[16:36.240 --> 16:41.080]  The reason that it drops down so visibly is because we're simulating all the way down to 10 hertz.
[16:41.240 --> 16:42.440]  But what the hell, all right?
[16:42.440 --> 16:48.860]  So you can see that now the frequency range is much, much more extended, all right?
[16:49.280 --> 16:56.540]  It used to be drooping downwards very, very early such that the 1 kilohertz portion was already dropped off.
[16:57.040 --> 16:57.440]  Okay.
[16:57.440 --> 17:07.640]  But now we can see that the gain is consistent all the way down to 1 kilohertz and even all the way down to, well, something like 300 hertz.
[17:07.840 --> 17:10.480]  It's actually pretty much still okay.
[17:11.240 --> 17:11.520]  All right?
[17:11.900 --> 17:14.400]  So given this, all right?
[17:14.620 --> 17:19.080]  Given this, if we now go back, all right?
[17:19.080 --> 17:25.000]  If we now go back to simulating our circuit, all right?
[17:25.000 --> 17:33.340]  If we now go back to simulating our circuit, bring this up and let's edit the simulation command again.
[17:34.340 --> 17:35.080]  All right.
[17:35.160 --> 17:38.200]  Simulate and edit the simulation command.
[17:39.420 --> 17:40.020]  Okay.
[17:40.460 --> 17:44.020]  And we go back to our transient analysis, right?
[17:44.100 --> 17:48.440]  We go back to our transient analysis and we now do this.
[17:48.440 --> 17:57.560]  We should see that our output voltage has increased very, very significantly.
[17:58.180 --> 17:58.480]  All right?
[17:58.720 --> 18:00.860]  It has increased very, very significantly.
[18:01.560 --> 18:04.660]  We are now reaching how much?
[18:05.360 --> 18:05.600]  All right?
[18:06.080 --> 18:07.500]  2.5.
[18:07.860 --> 18:08.200]  All right?
[18:08.300 --> 18:13.980]  2.5 all the way down to negative 3.1.
[18:14.760 --> 18:15.080]  Okay?
[18:15.260 --> 18:17.360]  So how many volts peak to peak is that?
[18:17.360 --> 18:17.860]  All right?
[18:17.860 --> 18:24.660]  So 2.5 plus 3.1 gives us 5.6 volts.
[18:24.760 --> 18:25.040]  All right?
[18:25.100 --> 18:34.680]  That's 5.6 volts peak to peak for an input of 30 millivolts peak to peak.
[18:34.900 --> 18:35.180]  Okay?
[18:35.340 --> 18:44.900]  And what you're going to find is that that's going to be a hell of a lot closer to the predicted gain of about 140 or so.
[18:44.900 --> 18:46.140]  So let's confirm that.
[18:46.140 --> 18:46.460]  Let's confirm that.
[18:46.460 --> 18:47.460]  It will be...
[18:47.460 --> 18:48.260]  Well, we'll see.
[18:48.400 --> 18:53.520]  Let's have a look because I can see a very significant change in the waveform here.
[18:53.520 --> 19:04.520]  5.6 divided by 30 times 10 to the minus 3 gives you a fantastically high gain of 186.
[19:04.520 --> 19:05.240]  All right?
[19:05.240 --> 19:07.840]  So that's really, really very high.
[19:07.840 --> 19:19.900]  And that's all down to essentially the circuit really maximizing the available voltage gain.
[19:19.900 --> 19:23.440]  So our calculated is about 140.
[19:23.440 --> 19:28.560]  The actual LTSPY simulation is 186.
[19:28.560 --> 19:34.820]  And that could be all down essentially to just the difference in the beta of the transistor for all we know.
[19:34.820 --> 19:40.480]  So this is very much more in line with the expected value.
[19:40.880 --> 19:41.300]  Hang on.
[19:41.360 --> 19:42.740]  Let me just check something here.
[19:42.880 --> 19:45.240]  And let's see if this makes any difference.
[19:46.260 --> 19:48.740]  Let's bring this back down to one microphone.
[19:48.740 --> 19:50.880]  I suspect that there is a...
[19:50.880 --> 19:52.140]  Well, maybe not.
[19:52.240 --> 19:52.580]  I don't know.
[19:52.720 --> 19:53.080]  Let's see.
[19:55.540 --> 19:57.220]  Did that make any difference?
[19:57.220 --> 20:04.760]  According to the simulation, it's 3 and then up at 2.4.
[20:04.980 --> 20:08.040]  And that's a little bit less now than before.
[20:08.480 --> 20:08.700]  All right.
[20:08.820 --> 20:09.900]  So there we go.
[20:10.420 --> 20:24.020]  But anyway, that's essentially the biggest reason for the difference in gain really is simply because of this capacitor here.
[20:24.020 --> 20:33.120]  This is the primary reason because it has such a profound effect on the effective emitter resistance.
[20:33.720 --> 20:33.860]  Okay.
[20:34.400 --> 20:35.520]  So there you go with that.
[20:35.780 --> 20:38.680]  I hope you found that educational.
[20:40.120 --> 20:40.300]  Okay.
[20:40.400 --> 20:43.220]  So that is the answer to that question.
[20:43.780 --> 20:44.100]  Okay.
[20:44.520 --> 20:46.860]  So let's go forward.
[20:47.340 --> 20:47.880]  Okay.
[20:48.300 --> 20:52.320]  Before we continue, sorry, let me get back to you.
[20:52.320 --> 20:54.460]  I've been concentrating here on this one.
[20:54.980 --> 20:55.100]  Okay.
[20:56.160 --> 21:13.080]  And by changing the capacitor to 250 microfarads, the impedance at 1 kHz becomes 0.63 ohms, which becomes now pretty much, you know, 0 ohms or a hell of a lot closer to 0 ohms.
[21:13.520 --> 21:19.700]  And that's why the resulting gain is much more in line with expectations.
[21:20.460 --> 21:20.720]  Okay.
[21:20.720 --> 21:22.240]  So there you go with that.
[21:23.340 --> 21:27.960]  Let me now ask, do you have any questions?
[21:29.720 --> 21:30.580]  May panong ba?
[21:31.580 --> 21:33.720]  Kasi kung...
[21:33.720 --> 21:36.040]  Nasaan yung chat?
[21:36.700 --> 21:36.960]  Okay.
[21:37.460 --> 21:38.880]  Why is the chat missing?
[21:39.720 --> 21:40.420]  Meeting chat.
[21:42.180 --> 21:42.980]  Ah, no.
[21:43.120 --> 21:44.400]  The meeting chat is blank.
[21:45.020 --> 21:45.360]  Okay.
[21:45.360 --> 21:48.240]  Are there any questions, people?
[21:49.600 --> 21:53.120]  If there are none, kindly provide a thumbs up.
[21:55.640 --> 21:56.240]  Okay.
[21:56.240 --> 21:57.240]  Okay.
[21:59.800 --> 22:00.200]  Okay.
[22:00.360 --> 22:01.640]  So let's go forward.
[22:02.040 --> 22:02.400]  All right.
[22:02.440 --> 22:03.220]  Let's go forward.
[22:03.480 --> 22:08.100]  And let's go to the other characteristic that is quite important.
[22:08.680 --> 22:08.960]  Okay.
[22:08.960 --> 22:16.200]  So this time, let's look into what is called this amplifier or amplification, amplifier distortion.
[22:17.140 --> 22:17.380]  Okay.
[22:17.740 --> 22:19.420]  Now, what the hell is this?
[22:19.420 --> 22:26.000]  So let's see the ideal characteristics that we've discussed so far.
[22:26.500 --> 22:29.540]  All of these, you're basically already aware of.
[22:29.600 --> 22:30.880]  Let me just get the pen back on.
[22:30.880 --> 22:31.560]  All right.
[22:31.660 --> 22:37.320]  Low output impedance, high input impedance, high voltage gain, and current gain, which basically
[22:37.320 --> 22:41.600]  just simply means that high amplification.
[22:42.160 --> 22:42.440]  All right.
[22:42.960 --> 22:49.780]  Now, other desirable characteristics, you already know of this one, which is the stability.
[22:50.320 --> 22:51.180]  All right.
[22:51.240 --> 22:54.080]  Because you conducted the experiment in the lab.
[22:54.080 --> 23:01.460]  And as you heated up the transistor, all right, you were looking at the Q point shift with temperature.
[23:02.380 --> 23:02.580]  All right.
[23:03.300 --> 23:03.940]  Bandwidth.
[23:04.380 --> 23:04.740]  All right.
[23:04.840 --> 23:12.880]  The bandwidth is something that you just might have recently become aware of, which is, you
[23:12.880 --> 23:19.620]  know, just the simulation that we did just a few moments ago where you saw that, all right,
[23:19.620 --> 23:26.980]  the amplifier's voltage gain in this particular case was dropping off at the lower frequencies.
[23:27.720 --> 23:33.500]  And that's basically because of the choice of the capacitor values that we used for the amplifier.
[23:34.060 --> 23:40.420]  Now, on the other side of this, actually towards the high frequency, we also actually expect the
[23:40.420 --> 23:43.480]  transistors, the gain to go downward.
[23:44.020 --> 23:48.400]  It's just that we never simulated all the way up to that frequency.
[23:48.400 --> 23:49.560]  All right.
[23:49.620 --> 23:56.820]  Where the transistor's beta will actually begin to drop off again.
[23:57.660 --> 23:57.760]  Okay.
[23:58.220 --> 24:02.000]  For a 2N2222, however, that frequency is very, very high.
[24:02.600 --> 24:11.660]  So if the simulation that you're interested in is only bound to the audible frequencies,
[24:12.360 --> 24:17.740]  all right, 20 kilohertz, even all the way up to 50 kilohertz or 100 kilohertz, you're not
[24:17.740 --> 24:20.940]  going to see this top end drop off.
[24:20.940 --> 24:21.440]  All right.
[24:21.440 --> 24:30.480]  But just for illustration purposes, because we have this here right now, all right, I can actually
[24:30.480 --> 24:31.340]  show you that.
[24:31.460 --> 24:32.020]  What the hell?
[24:32.680 --> 24:32.960]  All right.
[24:32.960 --> 24:38.200]  Again, we're going to change the simulation mode back to AC.
[24:38.200 --> 24:41.560]  And let's do that.
[24:41.560 --> 24:42.360]  Okay.
[24:42.420 --> 24:43.220]  Let's do that.
[24:43.220 --> 24:47.540]  simulate, edit simulation command.
[24:47.540 --> 24:49.540]  Let's go to AC analysis.
[24:49.540 --> 24:57.940]  And let's bring up this frequency limit to, let's say, for example, something ridiculous and totally
[24:57.940 --> 25:05.880]  unnecessary like, you know, well, let's say 3 megahertz or something like that.
[25:05.880 --> 25:10.300]  3 million hertz, which is crazy.
[25:10.780 --> 25:15.280]  You wouldn't do this with a transistor amplifier that's designed for audio.
[25:15.920 --> 25:25.160]  But looking at it here, right, you can see a very, very weird kind of frequency response
[25:25.160 --> 25:26.440]  happening right now.
[25:26.440 --> 25:30.920]  So, what the hell?
[25:31.600 --> 25:31.820]  Mali.
[25:34.500 --> 25:36.540]  See, mali ang entry.
[25:36.800 --> 25:37.040]  Meg.
[25:38.240 --> 25:39.040]  All right.
[25:40.440 --> 25:40.720]  Yeah.
[25:41.080 --> 25:41.320]  Okay.
[25:41.680 --> 25:47.260]  So, it's barely visible, but you can see a dip here at the higher end of the frequency
[25:47.260 --> 25:48.160]  range already.
[25:48.420 --> 25:53.240]  And that's basically testament to the 2 and 2, 2, 2, 2 being pretty fast.
[25:53.240 --> 25:57.920]  So, let's try to push this further.
[25:59.460 --> 25:59.900]  Okay.
[26:00.540 --> 26:04.080]  And let's simulate it all the way to 20 megahertz, for example.
[26:04.280 --> 26:09.840]  That would be really, really visible as a dip in terms of, you know, there we go.
[26:10.060 --> 26:10.240]  All right.
[26:10.320 --> 26:17.020]  So, kita-kita ngayon that beyond the certain frequency, the gain of the amplifier begins
[26:17.020 --> 26:20.040]  to, you know, the data begins to drop off again.
[26:20.040 --> 26:25.480]  This is a natural characteristic of all semiconductors.
[26:25.680 --> 26:31.660]  They do have a limitation as far as high-frequency operation is concerned.
[26:32.120 --> 26:35.740]  The 2 and 2, 2, 2, 2 is a particularly okay-ish transistor.
[26:36.880 --> 26:42.640]  The simulations seem to indicate that it should be able to operate all the way up to that very,
[26:42.740 --> 26:44.040]  very high-frequency range.
[26:44.040 --> 26:53.420]  But, you know, these simulations are not particularly accurate in capturing the real-world performance
[26:53.420 --> 26:58.500]  because there's a lot of things that it's not actually simulating that you would have to
[26:58.500 --> 27:05.560]  deal with in the real world, which include, you know, where it is placed and resistances,
[27:05.840 --> 27:12.420]  inductances, and capacitances associated with the physical layout and components themselves.
[27:12.420 --> 27:13.140]  All right.
[27:13.540 --> 27:16.280]  So, anyway, we can see that there's a dip here.
[27:16.800 --> 27:19.500]  There's a dip at the lower end of the frequency range.
[27:19.620 --> 27:23.300]  And this is what bandwidth, all right, is about.
[27:23.700 --> 27:25.840]  That's what bandwidth is all about.
[27:26.260 --> 27:26.480]  Okay.
[27:26.660 --> 27:28.260]  So, I hope that's clear.
[27:28.960 --> 27:29.280]  All right.
[27:29.300 --> 27:30.820]  So, we've talked about bandwidth.
[27:30.820 --> 27:32.880]  There's a frequency limit.
[27:32.880 --> 27:41.580]  In an ideal amplifier, for example, we might want an amplifier to have no limits as to what
[27:41.580 --> 27:45.100]  frequency range it can amplify, all right?
[27:45.140 --> 27:50.280]  Meaning that you can throw any signal at it and it will just do it all by itself, you know,
[27:50.280 --> 27:54.960]  with the same consistent gain, right, all throughout.
[27:54.960 --> 27:58.880]  But, again, in real life, that's not going to happen.
[27:59.520 --> 27:59.640]  Okay.
[28:00.000 --> 28:10.140]  So, having said that, the last thing here that we want to focus on for this lecture to the
[28:10.140 --> 28:15.040]  end of the time is the fidelity of the amplification.
[28:15.840 --> 28:18.000]  The fidelity of the amplification.
[28:18.000 --> 28:22.240]  Now, you might have heard of the term fidelity.
[28:23.060 --> 28:30.920]  This is usually associated with, you know, with couples, right?
[28:31.000 --> 28:37.460]  With couples, as in human, people, people, or even animal, animal couples, husband and wife,
[28:37.700 --> 28:38.240]  for example.
[28:38.400 --> 28:42.800]  The term fidelity, all right, is associated normally with that.
[28:42.800 --> 28:47.540]  But when it comes to this amplifier, what the hell does fidelity mean?
[28:47.540 --> 28:56.580]  Well, the basic bottom line is that fidelity describes, you know, between two people, between
[28:56.580 --> 29:06.500]  a couple, it basically means that they are faithful to each other, right?
[29:06.600 --> 29:07.900]  They're faithful to each other.
[29:07.960 --> 29:10.200]  And this happens even in the animal world, right?
[29:10.200 --> 29:24.800]  Now, infidelity, right, refers to one or both of these, you know, pairs going off with somebody
[29:24.800 --> 29:26.240]  else, all right?
[29:26.280 --> 29:27.700]  Going off with somebody else.
