[00:00.000 --> 00:29.980]  Thank you.
[02:49.560 --> 02:55.900]  But we are not going to be looking into the specifics of it,
[02:55.900 --> 03:06.640]  But we're going to be looking at the grandfather, if you like, of these logic gates, which is plain transistor-transistor logic.
[03:07.120 --> 03:07.120] 
[03:07.640 --> 03:07.980]  All right.
[03:08.080 --> 03:16.260]  So we're going to have a look inside at what the transistor circuitry looks like to make a digital logic circuit function.
[03:16.960 --> 03:17.380]  Okay?
[03:17.680 --> 03:18.040]  All right.
[03:18.200 --> 03:22.900]  So we're going to be looking at the simplest one first.
[03:22.900 --> 03:34.280]  So you're familiar, of course, with the electronic symbol for a logic gate, in this case an inverter.
[03:34.520 --> 03:39.320]  So it looks like this on the left side of the drawing.
[03:40.180 --> 03:45.940]  So this is a standard way of putting up a logic symbol like an inverter.
[03:45.940 --> 03:58.540]  And if you try to think about what could be inside an inverter logic gate, you might think that it's basically just a transistor configuration that might look like this.
[03:59.000 --> 04:07.300]  A simple common emitter amplifier might do the job of providing you with an inverting logic.
[04:07.300 --> 04:20.060]  After all, a standard common emitter amplifier, as we know it, when it's doing its work in its active region, will invert the face of the signal.
[04:20.200 --> 04:31.160]  If I have a signal that is basically going in, which has a face that looks or a signal that looks like this, then the output is going to be an inverted version.
[04:31.360 --> 04:33.440]  And indeed, that is an inverter.
[04:34.560 --> 04:36.880]  And this is an analog signal.
[04:36.880 --> 04:45.600]  it's sinusoidal. So if we change this into a digital logic signal going for example from zero
[04:45.600 --> 04:54.480]  to about three volts, then we expect that the output will just be the inverted version of this,
[04:54.480 --> 05:04.960]  which will look basically like this. Okay, going from zero to well close to if not exactly five
[05:04.960 --> 05:13.840]  volts, assuming of course that that's not V out. This is V supply for heaven's sake. Who wrote this?
[05:13.840 --> 05:27.920]  Okay, V supply equals five volts. So it's pretty straightforward and it should work.
[05:27.920 --> 05:40.180]  It should work because we can say that this is a logic 1, this one is a logic 0, and of course the output here is going to be a logic 0, and this one is going to be a logic 1.
[05:40.320 --> 05:42.200]  And so yes, it does invert.
[05:43.600 --> 05:52.060]  So are digital logic circuits built with something this simple, a single transistor?
[05:52.060 --> 05:58.260]  Well, if it is an inverter, then maybe it would be okay to build it this way.
[05:58.740 --> 06:02.200]  However, let's look at the real-world requirements.
[06:02.800 --> 06:07.420]  What does a real-world logic gate have to do, all right,
[06:07.660 --> 06:12.780]  aside from providing the required logic function, okay,
[06:13.000 --> 06:15.460]  aside from just the logic function?
[06:15.460 --> 06:31.920]  Well, the characteristics of a good logic gate, an ideal characteristic, would be that it has a lot of tolerance for signal noise.
[06:32.620 --> 06:38.780]  After all, this is the marked difference between the analog and the digital world.
[06:38.780 --> 06:43.880]  In the digital world, we just want to know if it's logic high or logic low.
[06:43.880 --> 06:57.400]  But this logic high and logic low, all right, this logic high and low need to actually be voltages.
[06:57.400 --> 07:24.360]  Okay? So the important thing here is that in the real world, if you have a lot of digital logic circuits functioning at the same time, okay, then there's a very good chance for these signals to interfere with each other.
[07:24.360 --> 07:32.240]  digital logic circuits are in fact extremely noisy if you have a sensitive
[07:32.240 --> 07:42.020]  piece of equipment that's capable of actually picking up the electromagnetic interference
[07:42.020 --> 07:51.000]  generated by these digital logic chips you will find that they are producing a hell of a lot of
[07:51.000 --> 07:57.780]  electromagnetic interference, unlike analog, right? Analog kasi you have these signals that are
[07:57.780 --> 08:06.200]  slowly rising and falling, which means that the tendency to emanate this as a strong noise signal
[08:06.200 --> 08:15.360]  is much, much ameliorated. When you have digital logic, you have voltages that rise and fall very
[08:15.360 --> 08:23.920]  quickly. And every time you do this, there is a good chance that the rising and falling produces
[08:23.920 --> 08:33.600]  a spike in the current, and this produces a magnetic response. Any delta I produces a magnetic
[08:33.600 --> 08:41.440]  field. And so you get current and magnetic field combining to produce a radiofrequency signal,
[08:41.440 --> 08:44.660]  which is called an electromagnetic wave.
[08:45.300 --> 08:46.480]  And that's exactly it.
[08:46.720 --> 08:50.520]  These electromagnetic waves can travel through free space.
[08:50.960 --> 08:54.260]  They travel as a radio frequency wave,
[08:54.600 --> 08:56.640]  just like the signals on your cell phone,
[08:56.740 --> 09:02.860]  just like the signals on Wi-Fi can travel without the requirement of a wire.
[09:03.240 --> 09:07.980]  And so here's your digital logic circuit happily chugging along with ones and zeros,
[09:07.980 --> 09:12.380]  and it's actually producing a lot of electromagnetic interference.
[09:13.300 --> 09:13.440]  Okay?
[09:14.020 --> 09:19.320]  Now, imagine that you have digital logic circuits that are close to each other
[09:19.320 --> 09:24.700]  and so therefore their electromagnetic interference can easily affect each other.
[09:25.700 --> 09:29.200]  And because of that, all right, and because of that,
[09:29.200 --> 09:37.000]  we need to have digital logic inputs that are very tolerant of noise.
[09:37.000 --> 09:47.960]  In other words, there has to be a large degree of noise immunity in the inputs of our digital logic circuits.
[09:48.380 --> 09:49.300]  What does this mean?
[09:49.800 --> 10:01.340]  Well, this means essentially that the voltages that are associated with the logic high and logic low must have a big tolerance.
[10:01.340 --> 10:02.740]  Okay?
[10:03.440 --> 10:10.320]  There's a larger range of allowable voltages to represent a logic high
[10:10.320 --> 10:17.760]  and there's a similarly large tolerance range that is acceptable to the logic gate
[10:17.760 --> 10:20.520]  that will represent a logic low.
[10:20.840 --> 10:26.280]  Tatanggapin niya and it will interpret it as a proper logic level.
[10:27.200 --> 10:27.440]  Okay?
[10:27.440 --> 10:31.060]  So hindi pwedeng very tight yung tolerance.
[10:31.340 --> 10:37.880]  We cannot have a logic gate say that, oh, I'll only accept 4 volts as the logic high.
[10:38.380 --> 10:40.060]  Anything else, I won't.
[10:40.440 --> 10:41.340]  Hindi pwedeng ganon.
[10:41.800 --> 10:42.040]  Okay?
[10:42.700 --> 10:45.860]  I will only accept 0 volts as the logic low.
[10:45.860 --> 10:49.000]  Anything greater than 0 volts, I will not accept.
[10:49.580 --> 10:59.940]  So you can't have that because there is zero chance that these voltages can be adhered to in a real-world environment.
[11:00.700 --> 11:00.840]  Okay?
[11:00.840 --> 11:11.440]  So in practice, essentially, what happens is that the logic gate must be designed to have a fairly large tolerance of voltage.
[11:12.400 --> 11:17.640]  Here, for example, representing a logic low or logic zero.
[11:18.300 --> 11:29.900]  And a large tolerance as well for logic one, where it will say that any voltage that falls within a certain range is considered logic one.
[11:29.900 --> 11:36.720]  and any voltage that falls within this particular lower range here is considered a logic zero.
[11:37.000 --> 11:38.780]  So that's a requirement.
[11:39.460 --> 11:43.280]  Now, if you go back to just this single transistor over here,
[11:43.580 --> 11:47.820]  you'll find that that may not be the way that it works.
[11:48.740 --> 11:53.860]  You may find that if you put in a weirdish voltage on it,
[11:53.920 --> 11:57.140]  it might not produce a valid logic output.
[11:57.140 --> 11:58.020]  Okay?
[11:58.440 --> 11:58.760]  All right.
[11:58.760 --> 12:01.640]  So that's particularly important.
[12:03.520 --> 12:13.160]  Same thing, the output of a digital logic gate must also adhere to these input standards.
[12:13.360 --> 12:21.340]  After all, you're expecting to connect logic gate outputs to other logic gate inputs.
[12:21.540 --> 12:28.440]  Say, for example, you're going to be connecting an inverter over to the input of an AND gate.
[12:28.440 --> 12:39.720]  So that connection there means that the output of the inverter must be compatible with the input of the digital logic gate.
[12:39.720 --> 12:59.320]  And secondarily, it must provide an output that is the best possible output to avoid falling outside of the allowable voltage range for logic high and logic low.
[12:59.320 --> 13:12.840]  Okay, so here it says, all right, it says here that the output, all right, would want to stay away from undefined voltage levels on its output.
[13:13.160 --> 13:14.900]  What is undefined?
[13:15.240 --> 13:23.700]  Voltages that are not going to be interpretable as a logic 1 or logic 0.
[13:23.700 --> 13:37.140]  So in this particular case, we can shade this over here and say that these voltages, the voltages that fall within this range are what we call as undefined.
[13:38.780 --> 13:40.660]  Okay? Undefined.
[13:40.820 --> 13:51.020]  So hindi dapat maglabas ng voltaje yung logic gate na aabutan o papasok dito sa undefined range.
[13:51.020 --> 13:56.300]  Because if it does, then the logic gate downstream is going to say, duh, what is that?
[13:57.220 --> 13:57.420]  Okay?
[13:57.980 --> 13:58.320]  All right.
[13:58.500 --> 14:01.300]  So hopefully you understand these two.
[14:01.780 --> 14:02.040]  All right?
[14:03.120 --> 14:04.300]  Are we okay?
[14:04.780 --> 14:05.220]  Yes, no?
[14:05.680 --> 14:06.020]  All right?
[14:06.480 --> 14:13.300]  So the other characteristics include it should take as little input signal parent as possible.
[14:13.520 --> 14:13.800]  Why?
[14:13.800 --> 14:19.980]  Because we want to be able to connect our logic gate output to several other inputs,
[14:20.140 --> 14:24.640]  possibly because we're creating a monster Boolean function.
[14:25.760 --> 14:25.840]  Okay.
[14:26.580 --> 14:36.160]  So we want our logic gate output, all right, to be able to drive several logic gate inputs
[14:36.160 --> 14:40.720]  because it might be that in your particular application,
[14:40.720 --> 14:49.280]  you need to connect the output of a logic gate to several inputs of other logic gates
[14:49.280 --> 14:56.280]  to give you that particular Boolean expression that you're trying to implement.
[14:57.240 --> 14:58.000]  Okay? Alright?
[14:58.560 --> 15:02.100]  So, dapat kaya niyang mag-drive ng several.
[15:02.100 --> 15:11.160]  So this means that the output has to have a substantial sync and source current.
[15:11.920 --> 15:14.900]  Source means that it can supply a logic one.
[15:15.480 --> 15:18.700]  And sync means that it can absorb a logic zero.
[15:19.600 --> 15:19.880]  All right?
[15:19.880 --> 15:24.680]  And whatever it is connected to, which are other digital logic gates,
[15:25.080 --> 15:31.860]  should have inputs that don't demand so much sourcing nor syncing.
[15:32.100 --> 15:33.060]  individually.
[15:33.900 --> 15:34.160]  Alright?
[15:34.860 --> 15:36.560]  So that you can have many
[15:36.560 --> 15:38.340]  at kakayangin pa rin
[15:38.340 --> 15:39.240]  ng output
[15:39.240 --> 15:40.920]  yung mga input
[15:40.920 --> 15:42.360]  ng mga nakakonect.
[15:43.220 --> 15:43.500]  Okay?
[15:44.360 --> 15:44.960]  Finally,
[15:45.240 --> 15:46.300]  we want to have
[15:46.300 --> 15:47.300]  a logic gate
[15:47.300 --> 15:48.920]  that by itself
[15:48.920 --> 15:50.240]  does not take in
[15:50.240 --> 15:51.280]  a large amount
[15:51.280 --> 15:52.500]  of power.
[15:53.700 --> 15:53.980]  Okay?
[15:54.180 --> 15:55.880]  VCC along with
[15:55.880 --> 15:57.180]  how much current
[15:57.180 --> 15:58.120]  it takes in.
[15:58.460 --> 15:59.680]  Because these guys
[15:59.680 --> 16:00.960]  need to be connected
[16:00.960 --> 16:09.080]  to the power supply. Typically for digital logic that is TTL based, that supply voltage is 5 volts.
[16:09.780 --> 16:18.300]  So when you take a digital logic chip, you connect it to its supply so that it will function,
[16:19.020 --> 16:28.180]  it will require some amount of power to operate. And we want to design the logic circuits such
[16:28.180 --> 16:35.840]  that the chip itself does not demand so much power because, again, you're going to have a lot
[16:35.840 --> 16:42.640]  of these digital logic chips operating at the same time to provide you with the digital logic
[16:42.640 --> 16:52.880]  function, Boolean function that you need. And so you could have 20, 50 logic gates or more,
[16:52.880 --> 16:57.740]  and each individual one will demand power from the power supply.
[16:58.120 --> 17:01.720]  We can't create digital logic circuits that are too power hungry.
[17:02.500 --> 17:02.620]  Okay?
[17:02.940 --> 17:07.680]  So the ideal case would be to have as little power demand as possible.
[17:07.680 --> 17:15.100]  So all of these characteristics are combined, all right,
[17:15.840 --> 17:19.740]  such that the design of the logic inside,
[17:19.740 --> 17:31.840]  The circuitry composed of all of those transistors that are inside to produce the logic function must have all of these characteristics as well.
[17:32.460 --> 17:42.020]  So those are the design goals for the digital logic circuit, a.k.a. the transistor circuitry inside.
[17:42.020 --> 17:55.020]  Okay? So it's not that simple. A single transistor like the common emitter, for example, will not be able to have all of these characteristics checkboxed.
[17:55.720 --> 18:03.020]  Okay? All right. So that's the bottom line. So let's move forward and let's look at how they are actually implemented.
[18:03.020 --> 18:12.100]  implemented. Okay? And well, we'll look at it step by step. Okay? So for the single transistor
[18:12.100 --> 18:20.640]  inverter, for the input voltage, for example, how many volts is needed to produce a logic low at its
[18:20.640 --> 18:30.140]  output? Okay? This one is easy to answer because all you have to do is turn on the transistor here.
[18:30.140 --> 18:37.040]  But remember, there are also requirements as to how much it will be able to drive.
[18:37.180 --> 18:44.720]  So, hindi pwedeng minimum current lang or minimum voltage lang kasi mag-aabsorb pa ito ng voltae.
[18:45.400 --> 18:48.040]  It will have the IB, alright?
[18:48.680 --> 18:56.140]  And that IB must be able to serve the individual current through this resistor here, alright?
[18:56.140 --> 19:05.740]  And this is going to be connected to other logic gates, which would mean that these other logic gates will also demand some current.
[19:05.740 --> 19:20.780]  Therefore, you can easily surmise that there will be a much greater input voltage to just make this a reliable logic low or logic zero.
[19:21.500 --> 19:21.780]  Okay?
[19:23.020 --> 19:26.180]  What about getting it to do a logic high?
[19:26.320 --> 19:30.840]  Well, obviously, I need to put this all the way down to pretty close to zero volts.
[19:30.840 --> 19:47.580]  It would have to be ideally zero, but it will be able to tolerate maybe up to something like 0.4 volts all the way down to zero to keep this transistor turned off and therefore this one producing a logic high at its output.
[19:47.580 --> 19:52.960]  So you can put this into LP Spice and you can try simulating it if you like.
[19:53.440 --> 20:00.620]  But what you're going to find essentially is that it does not have a particularly good noise immunity.
[20:01.460 --> 20:01.780]  All right.
[20:02.200 --> 20:09.580]  And you're also going to find that it does not have a particularly good output drive capability.
[20:09.580 --> 20:22.040]  It is just not possible to do this good required characteristic functions that we've stated here with a single transistor.
[20:23.260 --> 20:23.440]  Okay?
[20:23.820 --> 20:24.220]  All right.
[20:24.400 --> 20:28.620]  So we can go ahead and try simulating this.
[20:29.260 --> 20:34.120]  Kung pinilit natin, so what happens if we connect it to another logic gate?
[20:34.720 --> 20:35.120]  Okay?
[20:35.120 --> 20:45.560]  And you're going to find that as you propagate it, on and on, it's going to get worse and worse.
[20:46.000 --> 20:48.340]  So it's not going to work properly.
[20:49.420 --> 20:53.860]  I'm going to skip that because we don't want to spend too much time with it.
[20:54.780 --> 20:55.720]  All right.
[20:55.720 --> 21:01.660]  So a single transistor just is not going to work.
[21:01.660 --> 21:05.460]  And a single transistor does the job of inverting.
[21:06.720 --> 21:16.060]  And even just that, okay, how do you build an AND gate or an OR gate or a NAND gate with a single transistor?
[21:16.320 --> 21:20.480]  You'll find that it's basically not possible to do all of these functions.
[21:20.900 --> 21:25.080]  And certainly you need these other logic functions.
[21:25.980 --> 21:26.220]  Okay?
[21:26.700 --> 21:27.060]  All right.
[21:27.220 --> 21:30.140]  So you can't do that with just one transistor.
[21:30.840 --> 21:36.480]  Secondly, the performance even of a single transistor, if you had a magical way to even use it,
[21:36.480 --> 21:44.680]  is going to basically be inadequate as far as noise immunity and fan out is concerned.
[21:45.460 --> 21:54.940]  Not to mention that the power demand of this single transistor approach is not going to be particularly good either
[21:54.940 --> 22:00.460]  in terms of power requirement versus output speed.
[22:01.420 --> 22:01.560]  Okay?
[22:02.060 --> 22:02.440]  All right.
[22:02.440 --> 22:08.580]  So here is a practical logic circuit.
[22:09.440 --> 22:09.520]  Okay?
[22:09.920 --> 22:12.180]  And in this particular example,
[22:12.800 --> 22:15.580]  we are showing the same logic function,
[22:15.840 --> 22:17.060]  which is an inverter.
[22:17.620 --> 22:21.620]  Notice that from a single common emitter amplifier
[22:21.620 --> 22:24.660]  that we know is not going to work particularly well,
[22:24.940 --> 22:30.300]  the practical implementation suddenly jumps to several transistors.
[22:31.260 --> 22:34.280]  This is still just an inverter.
[22:34.780 --> 22:38.020]  It has one input and one output.
[22:38.020 --> 22:44.960]  And if the label is correct, then obviously we expect that it will invert the logic.
[22:45.740 --> 22:50.960]  Now, let's have a look as to how this circuit functions.
[22:50.960 --> 22:51.800]  Okay?
[22:52.700 --> 23:09.840]  Admittedly, it's complex looking, but don't be scared because transistors working inside a logic circuit are typically working as on or off switches only.
[23:10.240 --> 23:14.780]  They are typically not operating in their active region.
[23:14.780 --> 23:19.380]  or if even they go into their active region,
[23:19.540 --> 23:22.900]  they do it only for a very, very brief amount of time.
[23:23.740 --> 23:27.400]  So it's easy to actually analyze
[23:27.400 --> 23:31.200]  how the circuit more or less works.
[23:31.200 --> 23:34.260]  It's only when you get into the gritty-gritty details
[23:34.260 --> 23:37.860]  that it gets a little bit more difficult.
[23:38.340 --> 23:40.360]  So let's try to have a look.
[23:40.820 --> 23:43.780]  There are four transistors here.
[23:43.780 --> 23:52.100]  All right. And this output configuration that we see here is what we call as the totem pole.
[23:53.140 --> 24:00.960]  All right. The name derives from the fact that we have two transistors stacked on top of each other.
[24:00.960 --> 24:04.240]  and Totempole is the
[24:04.240 --> 24:07.060]  well if you're familiar with
[24:07.060 --> 24:11.240]  American Indians kind of stuff
[24:11.240 --> 24:13.820]  alright or the
[24:13.820 --> 24:15.480]  the
[24:15.480 --> 24:21.220]  Incas for example
[24:21.220 --> 24:24.780]  or some similar tribes I'm not sure if the Incas actually do it
[24:24.780 --> 24:27.020]  where they put several
[24:27.020 --> 24:29.640]  icons
[24:29.640 --> 24:37.680]  or symbols, all right, or faces on top of each other to symbolize a certain something,
[24:38.160 --> 24:40.980]  well, that's where the name comes from.
[24:40.980 --> 24:46.000]  So this stacking of the symbols, heads, or whatever,
[24:46.540 --> 24:52.960]  is something like what you have here where the transistors are stacked on top of each other.
[24:53.560 --> 24:56.280]  So this is why it's called the totem pole configuration.
[24:56.280 --> 25:01.900]  And we'll see in a short while how this time actually works.
[25:02.220 --> 25:05.660]  So let's start with the first transistor here.
[25:06.360 --> 25:06.400]  Okay?
[25:07.180 --> 25:14.720]  So Q1 is what we call as the input which does the job of current steering.
[25:15.660 --> 25:15.980]  Okay?
[25:16.480 --> 25:17.480]  Current steering.
[25:17.640 --> 25:18.920]  So makinigay na mabuti ha.
[25:19.060 --> 25:19.260]  Alright?
[25:19.260 --> 25:31.740]  You can think of Q1 as just this resistor here, R1, being connected to something like two diodes.
[25:31.740 --> 25:39.900]  Because in fact, remember that the base-to-emitter is something where there is a diode from base-to-emitter.
[25:40.280 --> 25:45.000]  And there is also another diode, which is the base-to-collector diode.
[25:46.020 --> 25:46.200]  Okay?
[25:46.580 --> 25:46.980]  All right.
[25:46.980 --> 26:03.100]  Now, so concentrating on the equivalent transistor with resistor on the right side, okay, when V in is a logic 1, all right, remember that this is connected to VCC.
[26:03.100 --> 26:10.040]  If you put V into logic 1, then there's not enough voltage here.
[26:10.780 --> 26:16.580]  There's not enough voltage from base to emitter to turn that junction on.
[26:17.300 --> 26:26.500]  Therefore, diode D1 basically acts as an off-circuit, as it basically is not conducting.
[26:26.500 --> 26:38.040]  So the easiest way to think about this is you say that VCC is 5V and Vin is also 5V, which is representing logic 1.
[26:38.720 --> 26:39.960]  For now, at least.
[26:40.240 --> 26:45.120]  So kung parehong 5V, hindi ito nagkokonduct.
[26:45.540 --> 26:48.260]  The transistor is going to be off.
[26:49.380 --> 26:54.560]  If this is a logic 1 and we have 5V over there.
[26:54.560 --> 27:10.840]  Transistor is off. Now, if the transistor is off, we still have potentially the supply voltage going in this direction through the base to collector diode.
[27:10.840 --> 27:32.220]  So, aandar yung kuryente, alright? Hindi siya pupunta papunta sa left side because this guy is off. But it can and will go over to the right side if there's enough voltage potential across V2 to actually get it conducting.
[27:32.220 --> 27:39.600]  In other words, if it will drop by 0.7, then it will actually conduct.
[27:40.500 --> 27:40.640]  Okay?
[27:41.160 --> 27:43.680]  So that's this first part.
[27:44.180 --> 27:44.440]  Okay?
[27:44.540 --> 27:49.000]  And we're only analyzing it in terms of a logic 1 for now.
[27:50.140 --> 27:50.420]  Okay?
[27:50.580 --> 27:50.880]  All right.
[27:50.940 --> 27:54.720]  Now, before I erase anything here, can we check on you guys?
[27:54.900 --> 27:57.860]  Are you able to follow what I'm saying so far?
[27:57.940 --> 27:58.540]  Are we okay?
[27:58.540 --> 28:04.800]  If so, please provide thumbs up and feedback information.
[28:07.940 --> 28:10.180]  Alright, so let's move forward.
[28:11.180 --> 28:12.660]  Let's move forward.
[28:13.940 --> 28:17.860]  If we put a logic zero on the other hand,
[28:19.280 --> 28:21.880]  if we put a logic zero,
[28:23.500 --> 28:27.720]  we can think of this as being zero volts and this one is five volts.
[28:28.200 --> 28:30.680]  Therefore, this guy will turn on.
[28:30.800 --> 28:33.320]  There's going to be essentially a VBE.
[28:33.920 --> 28:36.540]  This is going to be plus minus 0.7.
[28:37.080 --> 28:41.540]  So therefore, this will pull this junction or this point down.
[28:42.040 --> 28:42.360]  All right.
[28:42.420 --> 28:45.320]  And it will turn the transistor on.
[28:45.660 --> 28:50.520]  And when the transistor turns on, we expect to get the thing to saturate.
[28:50.920 --> 28:54.600]  It's basically an on-off kind of logic.
[28:54.600 --> 29:02.180]  So therefore, we're going to get 0.3 volts across the collector to emitter junction.
[29:03.400 --> 29:03.480]  Okay?
[29:04.080 --> 29:04.460]  All right?
[29:04.840 --> 29:06.980]  So remember that.
[29:07.200 --> 29:18.280]  And so if this is at 0 volts, all right, if it's at 0 volts and we have 0.3 volts, then this one here is at about 0.3 volts.
[29:18.520 --> 29:18.960]  Okay?
[29:19.240 --> 29:19.520]  All right.
[29:19.560 --> 29:22.680]  So that's it for the first transistor.
[29:23.380 --> 29:23.780]  All right?
[29:23.780 --> 29:32.660]  Along with the fact, of course, that you have your transistor beta working, which allows a greater amount of current amplification.
[29:33.380 --> 29:39.660]  But notice that that great current basically falls through to whatever is pulling this to ground.
[29:40.240 --> 29:52.480]  Now, if that's a different logic gate, then that would mean that that logic gate has to fight any collector to emitter current coming from this logic steering transistor.
[29:52.480 --> 30:03.780]  And that's fine. We'll see that a little bit later that that's exactly how it's been designed, that it's been designed to be able to handle that current flow when it pulls it down.
[30:04.700 --> 30:06.340]  So let's go forward.
[30:06.340 --> 30:18.260]  The next stage after it, that signal from the collector of Q1 is connected here to the second transistor Q2.
[30:18.920 --> 30:29.700]  And you might recognize it essentially, the fact that it has an output at the collector and it has an output at the emitter means that it is essentially a phase splitter.
[30:29.700 --> 30:38.040]  It produces an output that is outputs that are inverses of each other.
[30:39.100 --> 30:39.180]  Okay?
[30:39.880 --> 30:48.540]  So analyzing this, you're back to your common emitter phase splitter configuration that we just took up last meeting,
[30:48.540 --> 30:55.960]  except that the signals here are expected to be just high or low, right?
[30:56.120 --> 30:59.460]  High or low instead of sinusoidal.
[30:59.700 --> 31:16.280]  So if VIN is low, all right, low voltage, 0.3 volts, 0.5 volts, all right, what happens is that the transistor is basically off, all right?
[31:16.280 --> 31:22.280]  If this is low, then transistor Q2 is off, okay?
[31:22.280 --> 31:34.560]  And if Q2 is off, then the voltage here is 0 volts and the voltage here is going to try to rise to plus 5 volts.
[31:35.160 --> 31:35.600]  Bakit?
[31:36.080 --> 31:40.320]  Kasi kung off siya, parang hindi siya connected, di ba?
[31:40.540 --> 31:43.340]  If it's off, it's like it's not there.
[31:43.340 --> 31:58.020]  So therefore, this thing at the top, okay, VO1 gets pulled up by R2 and VO2 gets pulled down by R3.
[31:58.020 --> 32:06.300]  And so we can say that VO2 is basically ground or zero volts.
[32:06.980 --> 32:15.520]  And the high voltage here, VO1 is equal to Vcc.
[32:16.180 --> 32:20.000]  And that's what happens when the input is low.
[32:20.000 --> 32:21.080]  Okay?
[32:22.100 --> 32:31.120]  Conversely, if we have the input at high, all right, logic 1 is going in.
[32:31.620 --> 32:34.240]  So this transistor then turns on.
[32:35.380 --> 32:35.960]  Okay?
[32:35.960 --> 32:42.060]  And if it turns on, it's like it is almost shorting together.
[32:42.560 --> 32:48.900]  You'll get to see a 0.3 volt saturation across the collector to emitter.
[32:48.900 --> 33:02.260]  okay and so v01 is still well it gets pulled downwards right and technically that is going to
[33:02.260 --> 33:10.980]  be a lowish voltage and this guy should rise upward but it's actually connected to the output
[33:10.980 --> 33:15.360]  transistor both of these guys are connected to the output transistor which you're going to find
[33:15.360 --> 33:20.040]  is going to limit it to VBE of Q3.
[33:20.240 --> 33:23.160]  In other words, this guy, 0.7.
[33:23.460 --> 33:25.260]  So it will try to rise up,
[33:25.760 --> 33:30.620]  but it will get limited by the third transistor here,
[33:31.180 --> 33:34.500]  such that the output voltage can only go up
[33:34.500 --> 33:38.380]  as high as VBE of this guy.
[33:39.020 --> 33:41.700]  So aangat siya, pero pag pipigilan siya
[33:41.700 --> 33:44.480]  kasi maroon tayo diode junction
[33:44.480 --> 33:46.200]  dun sa output transistor.
[33:46.940 --> 33:48.080]  Okay? Alright. So,
[33:48.900 --> 33:50.920]  bottom line is, it's a phase splitter.
[33:52.440 --> 33:52.760]  Okay?
[33:53.660 --> 33:54.900]  And by
[33:54.900 --> 33:56.880]  this configuration,
[33:57.260 --> 33:58.920]  by the time we get to
[33:58.920 --> 34:01.120]  the output portion,
[34:02.040 --> 34:02.380]  okay,
[34:03.040 --> 34:04.820]  the totem pole in itself,
[34:05.340 --> 34:07.220]  alright, we will see
[34:07.220 --> 34:09.260]  that these two
[34:09.260 --> 34:11.180]  are driven by
[34:11.180 --> 34:12.560]  the phase splitter.
[34:14.120 --> 34:14.420]  Okay?
[34:14.480 --> 34:18.460]  It's connected here through those two resistors, okay?
[34:19.180 --> 34:21.880]  And let's see what happens, okay?
[34:22.880 --> 34:40.440]  The output stage has been specifically designed such that Q3 provides the sync or logic low drive, okay?
[34:40.440 --> 34:53.580]  And Q4 provides the source or logic high drive.
[34:54.720 --> 34:59.240]  So they work alternately with each other.
[34:59.900 --> 35:02.460]  They work alternately with each other.
[35:02.460 --> 35:09.760]  Q3 provides a solid logic zero when it's turned on.
[35:10.440 --> 35:15.180]  And Q4 provides a logic high when it's turned on.
[35:15.180 --> 35:24.100]  We need to ensure that Q4 and Q3 do not turn on at the same time.
[35:25.120 --> 35:25.180]  Okay?
