[00:00.000 --> 00:06.000]  I'm back.
[13:23.860 --> 13:31.680]  So the output loop and the input loop have a shared component, which is the R sub C, all right?
[13:32.060 --> 13:34.080]  RC times IC.
[13:35.040 --> 13:37.940]  Maybe it's going to come out here anyway, all right?
[13:38.360 --> 13:38.880]  It will.
[13:38.880 --> 13:47.360]  So V minus VCC plus ICRC, all right?
[13:47.880 --> 13:56.060]  And then you have plus IBRB, all right, over here, okay?
[13:56.060 --> 13:59.560]  Plus VBE.
[14:00.740 --> 14:03.180]  And thankfully, oh, wait, hang on.
[14:03.280 --> 14:03.780]  Look at that.
[14:04.220 --> 14:09.420]  There's a difference between that previous circuit and this one that's being shown here.
[14:09.520 --> 14:18.020]  This one's even more sophisticated where it has an IERE, all right?
[14:18.040 --> 14:19.900]  Now, you might recognize that difference.
[14:19.980 --> 14:21.000]  So let me just go backwards.
[14:21.700 --> 14:25.380]  You'll notice that there's no emitter resistor for this particular example.
[14:25.380 --> 14:26.560]  All right?
[14:26.740 --> 14:28.280]  But in this one, there is.
[14:28.420 --> 14:36.500]  So it is possible to combine techniques to provide hopefully even better stability, all right?
[14:37.080 --> 14:46.660]  Kung baga, yung emitter stabilized feedback, kinombine pa natin sa DC bias with voltage feedback, all right?
[14:46.760 --> 14:47.980]  AKA voltage feedback.
[14:47.980 --> 14:54.480]  So this is about as complex as you might want to get it.
[14:54.480 --> 14:54.520]  Okay?
[14:55.340 --> 15:03.360]  And because that's the example here and that's what's going to be derived, the equations are going to be even more complex.
[15:03.720 --> 15:06.140]  You might as well give you the most complex version.
[15:06.960 --> 15:07.220]  Okay?
[15:07.380 --> 15:09.300]  Might as well give you the most complex version.
[15:09.300 --> 15:19.700]  So as you can see, this is exactly the same equation as what I've written here on top, except I forgot to close this off because that's done.
[15:20.420 --> 15:20.800]  All right?
[15:20.800 --> 15:33.280]  So it's the same equation except that the positive negativeness here is inverted against what I wrote.
[15:33.400 --> 15:34.800]  It's the same thing, essentially.
[15:35.000 --> 15:36.420]  Just multiply by negative 1.
[15:37.220 --> 15:37.480]  All right?
[15:37.480 --> 15:42.480]  And then if we...
[15:45.040 --> 15:45.480]  What?
[15:50.480 --> 15:53.220]  Hindi nakikita ang notations?
[15:54.940 --> 15:55.660]  Really?
[15:59.500 --> 16:00.400]  Hang on.
[16:00.680 --> 16:01.360]  What do you mean?
[16:01.440 --> 16:01.700]  All right.
[16:01.700 --> 16:05.780]  So you mean everything that I'm writing here is not coming out?
[16:12.740 --> 16:13.640]  Is that it?
[16:13.780 --> 16:15.880]  Can you see this red stuff that I'm writing?
[16:24.940 --> 16:26.200]  Ah-ha.
[16:26.660 --> 16:27.440]  What the hell?
[16:27.440 --> 16:27.840]  Okay.
[16:28.740 --> 16:29.040]  Okay.
[16:29.120 --> 16:29.460]  Hang on.
[16:29.900 --> 16:31.640]  Why didn't anybody say so?
[16:31.760 --> 16:32.840]  So let's...
[16:34.160 --> 16:34.520]  Hang on.
[16:34.600 --> 16:34.820]  Hang on.
[16:34.880 --> 16:35.100]  Hang on.
[16:35.160 --> 16:35.420]  Hang on.
[16:35.480 --> 16:35.680]  What?
[16:40.680 --> 16:41.080]  Okay.
[16:41.460 --> 16:41.900]  All right.
[16:42.100 --> 16:42.480]  Hang on.
[16:42.520 --> 16:42.780]  Hang on.
[16:42.840 --> 16:43.140]  Hang on.
[16:43.140 --> 16:44.340]  What's going on, man?
[16:51.240 --> 16:52.120]  Nala, ha?
[16:53.180 --> 16:54.200]  I missed the software.
[16:55.800 --> 16:56.880]  Ah, man.
[16:57.440 --> 16:57.940]  Okay.
[16:58.840 --> 17:00.780]  Let me try something.
[17:07.680 --> 17:08.680]  What I use...
[17:24.680 --> 17:25.600]  Okay.
[17:25.600 --> 17:25.880]  Okay.
[17:27.440 --> 17:33.080]  Hang on.
[17:33.080 --> 17:35.780]  Let me just try this.
[17:35.780 --> 17:41.420]  Okay.
[17:41.420 --> 17:46.220]  Hang on.
[17:47.260 --> 17:48.840]  Let me just try this.
[17:48.840 --> 17:53.500]  So current slide.
[17:53.500 --> 17:59.140]  some really odd things that are happening right now.
[17:59.140 --> 17:59.500]  Okay.
[17:59.500 --> 17:59.900]  Okay.
[17:59.900 --> 18:00.140]  Okay.
[18:00.140 --> 18:00.140] 
[18:00.140 --> 18:18.940]  The problem really here is that, you know, software just got updated, which is really nuts.
[18:18.940 --> 18:19.940]  Let's see.
[18:19.940 --> 18:20.880]  Let's see.
[18:20.880 --> 18:21.080]  Yeah.
[18:21.080 --> 18:24.280]  I don't know if this is going to be any better.
[18:24.280 --> 18:27.440]  Let me just try it.
[18:27.440 --> 18:28.440]  And you need to give me feedback.
[18:28.440 --> 18:28.440] 
[18:28.440 --> 18:29.880]  Let me just capture this.
[18:29.880 --> 18:31.080]  Share this slide.
[18:31.080 --> 18:32.080]  Okay.
[18:32.080 --> 18:34.720]  Share this slide.
[18:34.720 --> 18:35.720]  Okay.
[18:35.720 --> 18:36.720]  Okay.
[18:36.720 --> 18:39.360]  Share this slide.
[18:39.360 --> 18:40.360]  Okay.
[18:40.360 --> 18:41.360]  Okay.
[18:41.360 --> 18:44.000]  All right.
[18:44.000 --> 18:45.000]  Okay.
[18:45.000 --> 18:45.000] 
[18:45.000 --> 18:45.000] 
[18:45.000 --> 18:46.000]  Okay.
[18:46.000 --> 18:46.000] 
[18:46.000 --> 18:49.640]  So you can see the circuit, I suppose.
[18:49.640 --> 18:50.640]  Okay.
[18:50.640 --> 18:55.280]  And can you see this thing that I am drawing here right now?
[18:55.280 --> 18:56.280] !
[18:56.280 --> 19:00.920]  I am just put a lot of stuff over RV.
[19:00.920 --> 19:02.920]  There is another option.
[19:02.920 --> 19:04.260]  There is another option.
[19:04.260 --> 19:05.300]  There is another option.
[19:05.300 --> 19:06.300]  Okay.
[19:06.300 --> 19:09.440]  So why does this work and why doesn't the other one work?
[19:09.440 --> 19:10.440]  Okay.
[19:10.440 --> 19:11.720]  I really don't get it.
[19:11.720 --> 19:13.100]  I don't get it.
[19:13.100 --> 19:14.100]  Okay.
[19:14.100 --> 19:19.980]  And then there's this other option, which is this one, which wasn't showing up a while
[19:19.980 --> 19:20.980]  ago.
[19:20.980 --> 19:25.920]  So I can try this one as well.
[19:26.280 --> 19:30.400]  And this one should also be visible.
[19:30.400 --> 19:31.780]  This red color here.
[19:31.780 --> 19:32.780]  Is it?
[19:32.780 --> 19:33.780]  Yes?
[19:33.780 --> 19:34.780]  Yeah.
[19:34.780 --> 19:35.780]  Okay.
[19:35.780 --> 19:36.780]  Sige.
[19:36.780 --> 19:44.280]  So this is what I was actually expecting a while ago.
[19:44.280 --> 19:53.040]  But for some odd reason, it was not actually working with the other setting or software.
[19:53.040 --> 19:54.040]  All right.
[19:54.040 --> 19:55.040]  Sige.
[19:55.040 --> 20:02.000]  Well, frankly, we didn't miss much because what came out of the presentation is essentially
[20:02.000 --> 20:03.540]  the same equation anyway.
[20:03.540 --> 20:07.540]  So you notice that this software here is a slightly different font.
[20:07.540 --> 20:09.540]  That's why it looks on.
[20:09.540 --> 20:11.160]  Anyway, let's see what happens.
[20:11.160 --> 20:15.280]  Because the other thing that can happen is that this software might be compatible with
[20:15.280 --> 20:17.120]  the one with the presentation itself.
[20:17.120 --> 20:18.120]  But fingers crossed.
[20:18.120 --> 20:19.120]  Okay.
[20:19.120 --> 20:21.120]  So that's your KVL input loop.
[20:21.120 --> 20:22.120]  All right.
[20:22.120 --> 20:24.080]  And that's kind of sad.
[20:24.080 --> 20:26.620]  But yes, it just follows the basic path.
[20:26.620 --> 20:29.120]  And they've just changed the polarity here.
[20:29.120 --> 20:37.620]  Normally, we'd write it as minus VCC plus ICRC plus IVRB, et cetera, et cetera.
[20:37.620 --> 20:41.580]  So just it's like you just put it on the other side of the equation.
[20:41.580 --> 20:43.580]  So that doesn't really matter.
[20:43.580 --> 20:47.200]  So as far as this is concerned, this is fine.
[20:47.200 --> 20:48.340]  Okay.
[20:48.340 --> 20:50.240]  And so this is okay.
[20:50.240 --> 20:53.040]  What is this one?
[20:53.040 --> 20:56.000]  Though this is wrong.
[20:56.000 --> 20:59.000]  What the hell does that mean?
[20:59.000 --> 20:59.960]  All right.
[20:59.960 --> 21:03.780]  IB is definitely less than I sub C.
[21:03.780 --> 21:05.060]  All right.
[21:07.200 --> 21:14.800]  I prime C is equal to IC plus IB, which is roughly equal to IC.
[21:15.280 --> 21:15.420]  Okay.
[21:15.500 --> 21:16.720]  Yes, this is correct.
[21:17.160 --> 21:17.320]  Okay.
[21:17.320 --> 21:26.360]  So I prime C here is the collector current along with I sub B.
[21:26.800 --> 21:27.020]  All right.
[21:27.080 --> 21:31.740]  And so this is more technically really, what's this?
[21:32.040 --> 21:38.860]  Recognizing the fact that the current that is flowing through our collector resistor, in
[21:38.860 --> 21:49.900]  fact, is a sum of the collector current itself plus the current going through our R sub B, which
[21:49.900 --> 21:51.120]  would be our IB.
[21:51.820 --> 21:55.020]  So that is why we have this particular equation here.
[21:55.560 --> 22:00.720]  I prime C is equal to IC plus IB, which is what is over here.
[22:00.720 --> 22:06.180]  However, you can do an approximation assuming that the gain is high.
[22:06.180 --> 22:07.480]  All right.
[22:07.480 --> 22:12.820]  I think the symbol here is actually quite wrong, which is why it's confusing.
[22:13.420 --> 22:16.280]  This should be, you might want to take note of this.
[22:16.620 --> 22:17.560]  We're being recorded.
[22:17.560 --> 22:24.340]  So when I put these slides up as a PDF, please note that this is wrong.
[22:25.280 --> 22:25.440]  Okay.
[22:25.600 --> 22:27.860]  Refer to the video for the correction.
[22:28.640 --> 22:33.500]  This should be IB is much, much less than IC.
[22:34.040 --> 22:37.340]  This is what this symbol here is supposed to be.
[22:37.620 --> 22:40.760]  Not the less than or equal to.
[22:40.760 --> 22:41.120]  Okay.
[22:41.200 --> 22:42.260]  So mali yan.
[22:42.580 --> 22:43.100]  Okay.
[22:43.760 --> 22:45.540]  It's supposed to be this one.
[22:45.960 --> 22:46.380]  Okay.
[22:46.380 --> 22:48.840]  And that's the only way that that would make sense.
[22:50.140 --> 22:57.060]  Whoever created this set of slides here, apparently, well, it's been wrong for a long time.
[22:57.060 --> 23:00.800]  And it wasn't me.
[23:01.800 --> 23:03.900]  We're just borrowing the slides from somewhere.
[23:04.400 --> 23:04.680]  All right.
[23:05.040 --> 23:10.740]  So having said that, since IB is, again, considered to be such a...
[23:10.760 --> 23:19.780]  a fractional portion of I sub C, we can probably say that I prime C is practically the same thing as IC itself.
[23:20.360 --> 23:22.120]  Just a little bit more than that.
[23:22.140 --> 23:23.280]  So we can ignore that.
[23:23.280 --> 23:37.280]  And because of that, all right, you'll notice that this is practically saying that I prime C is equal to IE because IE is equal to...
[23:38.040 --> 23:40.700]  What is IC plus IB in the first place?
[23:40.760 --> 23:43.860]  This is a fundamental equation of the transistor.
[23:44.700 --> 23:51.760]  So in that case, because we're saying that I prime C is roughly equal to I sub C,
[23:51.760 --> 23:56.680]  we're also going to say that IC is roughly equal to IE anyway.
[23:57.440 --> 23:57.620]  All right.
[23:58.060 --> 24:02.400]  And we can just treat these values as being one and the same,
[24:02.400 --> 24:07.680]  which basically says we're ignoring the base current for now.
[24:08.340 --> 24:08.860]  All right.
[24:08.900 --> 24:10.480]  Just to simplify the equation.
[24:11.980 --> 24:12.280]  Okay.
[24:14.160 --> 24:19.100]  The loop equation then basically simplifies to something like this.
[24:19.340 --> 24:19.780]  All right.
[24:19.780 --> 24:27.240]  We can now rewrite the IC as beta times IB.
[24:27.840 --> 24:32.300]  And we can also rewrite IE as beta IB.
[24:32.680 --> 24:37.380]  If you want to be more exact, you can write it as beta plus 1 IB.
[24:37.720 --> 24:38.420]  All right.
[24:38.420 --> 24:40.540]  If you want it to be more exact.
[24:40.540 --> 24:46.800]  But this, again, is just a small approximation difference.
[24:47.600 --> 24:49.060]  So we can write it that way.
[24:49.540 --> 24:49.800]  All right.
[24:50.100 --> 24:52.480]  Let me just formally write it down here.
[24:52.580 --> 24:53.960]  And again, it's in the video.
[24:54.720 --> 24:54.980]  All right.
[24:55.100 --> 24:58.060]  Beta plus 1 is the more exact value.
[24:59.000 --> 24:59.280]  All right.
[24:59.280 --> 25:00.280]  Okay.
[25:01.040 --> 25:06.080]  And because of that, you are now consistent.
[25:06.820 --> 25:12.920]  You have a set of equations that are just all IB, IB, IB, all beta, beta, beta.
[25:13.640 --> 25:18.080]  And so therefore, you can come up with this equation for I sub B,
[25:18.820 --> 25:27.000]  where it is equal to VCC minus VBE over RB plus beta times RC plus RE.
[25:27.300 --> 25:27.540]  Okay.
[25:27.540 --> 25:34.860]  So I think the bottom line here is unfortunately, the equation that has been derived here.
[25:35.740 --> 25:36.060]  Okay.
[25:36.500 --> 25:44.120]  It's not particularly intuitive because you're subtracting VBE from VCC.
[25:45.180 --> 25:45.580]  All right.
[25:45.660 --> 25:49.740]  And if you look at it, VBE is this guy.
[25:50.440 --> 25:50.920]  All right.
[25:50.920 --> 26:05.420]  But it doesn't really look like a KVL if you look at this particular last equation.
[26:05.420 --> 26:09.540]  But we've traced this out from here to here to here.
[26:10.260 --> 26:16.120]  So essentially, this is what IB is calculatable to be.
[26:16.480 --> 26:23.540]  And so under such circumstances, I would highly recommend that you simply commit the equation to memory
[26:23.540 --> 26:28.780]  because looking at it without going through the derivation.
[26:29.000 --> 26:38.640]  It's not really intuitive that you'll be able to derive or write the IB equation just by inspection.
[26:39.000 --> 26:45.020]  It really goes through some manipulation for that to basically come out.
[26:45.020 --> 26:45.880]  Okay.
[26:45.880 --> 26:52.240]  So it's much easier in this case to memorize it and say that, okay, for this particular configuration,
[26:52.760 --> 26:55.160]  the equation turns out to be like so.
[26:55.760 --> 26:56.040]  All right.
[26:56.040 --> 27:08.260]  And the bottom part, the quotient here of this, R sub B, all right, plus beta times RC plus RE.
[27:08.700 --> 27:08.960]  Okay.
[27:08.980 --> 27:12.320]  So this is the interesting bit here.
[27:12.420 --> 27:18.800]  There's that additional thing that makes the current really, really tiny,
[27:19.080 --> 27:23.460]  which is the beta multiplication of RC plus RE.
[27:24.320 --> 27:24.700]  All right.
[27:24.700 --> 27:26.860]  And so that's your input loop.
[27:27.360 --> 27:28.960]  This looks really messy now.
[27:29.100 --> 27:31.760]  So let me just erase everything here.
[27:32.780 --> 27:33.060]  Okay.
[27:33.680 --> 27:39.100]  And again, highlight that this is the equation of interest.
[27:39.820 --> 27:40.080]  Okay.
[27:40.500 --> 27:41.660]  So there we go with that.
[27:43.040 --> 27:43.500]  All right.
[27:44.080 --> 27:49.820]  Now, as for the output loop naman, okay, dito naman tayo sa output loop.
[27:49.820 --> 28:03.060]  And again, you'll notice that, well, if we start from this side, it is IERE, VCE, ICRC minus VCC.
[28:03.600 --> 28:03.860]  All right.
[28:03.860 --> 28:08.040]  So the input included this part.
[28:08.040 --> 28:13.480]  And this part, the output includes the same components, unfortunately.
[28:13.800 --> 28:15.920]  So they are interactive with each other.
[28:16.040 --> 28:17.140]  No question about it.
[28:17.920 --> 28:18.200]  All right.
[28:19.200 --> 28:19.480]  Okay.
[28:19.480 --> 28:30.600]  And going forward, again, if we make this approximation, I prime C, which is IE, is roughly equal to IC.
[28:31.240 --> 28:34.000]  And IC is equal to beta IB.
[28:34.000 --> 28:35.500]  We can do the substitution.
[28:36.500 --> 28:36.820]  All right.
[28:38.980 --> 28:39.540]  Okay.
[28:40.720 --> 28:46.260]  We can do the substitution from there and come up with this particular equation.
[28:46.260 --> 28:54.760]  And we can see that the voltage from collector to emitter is simply a function of the supply voltage.
[28:55.700 --> 28:56.000]  All right.
[28:57.020 --> 29:03.980]  Multiply minus I sub C multiplied to RC plus RE.
[29:04.460 --> 29:08.000]  And that is doable by inspection.
[29:08.240 --> 29:09.200]  You see, that's the difference.
[29:09.200 --> 29:20.380]  You can actually get that because you can see that this and this subtracted to VCC will leave you with VCE.
[29:20.620 --> 29:21.920]  There's really nothing much there.
[29:22.480 --> 29:30.780]  And you already inherently and easily remember that IC and IE are roughly the same value anyway.
[29:30.780 --> 29:37.500]  So you can just substitute that and then multiply or add the two resistor values together.
[29:37.500 --> 29:41.280]  And doing so gives you the total voltage.
[29:41.500 --> 29:43.240]  This plus this.
[29:43.880 --> 29:44.380]  All right.
[29:44.480 --> 29:45.360]  Combined here.
[29:45.820 --> 29:50.840]  Subtract that from VCC and you are left with the collector to emitter voltage.
[29:51.180 --> 29:51.300]  Okay.
[29:51.340 --> 29:54.880]  So the output loop is easy enough.
