[00:00.000 --> 00:15.120]  Don't hesitate to let me know so that your questions can be properly addressed.
[05:56.280 --> 06:09.660]  But bottom line is at 20 degrees centigrade, all right, there is a resulting V sub T, all right,
[06:09.760 --> 06:20.920]  which is about 25 or 26, closer to 26 millivolts at 25 degrees centigrade.
[06:20.920 --> 06:21.760]  Okay.
[06:21.760 --> 06:28.740]  So we want to take note of this because we'll see this value come out again and again.
[06:28.900 --> 06:32.820]  And so you might be wondering, what the hell is this 26 millivolts?
[06:33.240 --> 06:33.500]  Okay.
[06:33.500 --> 06:48.680]  So this is essentially just a voltage value of V sub T, if you like, all right, which is associated with the saturation currents that are inherent in the semiconductor as it stands.
[06:48.960 --> 06:49.220]  All right.
[06:49.300 --> 06:51.680]  So this will also come out with transistors.
[06:52.140 --> 06:53.760]  So that's just there.
[06:53.860 --> 06:54.840]  Just keep that in mind.
[06:54.840 --> 07:00.580]  It's a figure that you just want to have in mind so that you're not wondering what the hell it is.
[07:00.940 --> 07:01.060]  Okay.
[07:01.480 --> 07:10.080]  The other thing that comes out of this equation is that you can calculate what is called as the I sub S or saturation current.
[07:10.080 --> 07:29.200]  And dependent on the, what's this, doping that's associated with the diode, you'll find that the calculations at room temperature, all right, come out to some values around here.
[07:29.200 --> 07:40.400]  10 to the minus 15 or 10 to the minus 9, dependent on the values that you use to solve the equation.
[07:41.020 --> 07:41.260]  All right.
[07:41.440 --> 07:47.720]  So this N1 and N2, all right, which is associated with the doping levels in the diode.
[07:47.720 --> 07:57.980]  Again, not that important, but the bottom line here is this basically dictates, all right, this.
[07:59.200 --> 08:03.860]  Current that you get when the diode is reverse biased.
[08:04.160 --> 08:10.840]  So we mentioned last time that there is still a little bit of current flowing, even if the diode is reverse biased.
[08:10.840 --> 08:13.660]  And we know that the values are very small.
[08:14.620 --> 08:25.700]  So the reverse current, particularly at the very, very beginning over here, is basically equivalent to the saturation current, although it is dependent on temperature.
[08:25.940 --> 08:28.240]  So that's where that thing comes from.
[08:28.240 --> 08:29.160]  Okay?
[08:29.520 --> 08:29.780]  All right.
[08:29.840 --> 08:31.660]  So those are the things that we need to know.
[08:32.080 --> 08:44.920]  And one last thing, the breakdown region, all right, that breakdown region, that particular voltage where the breakdown happens, as mentioned also last time, is called the Zener voltage.
[08:44.920 --> 08:48.480]  And it is sometimes abbreviated.
[08:48.480 --> 08:53.960]  That voltage at which that happens is sometimes abbreviated as V sub Z K.
[08:54.700 --> 09:00.160]  Not only just V sub Z, but sometimes there is a letter K that's put there.
[09:00.700 --> 09:03.680]  And that K stands for knee, all right?
[09:03.820 --> 09:06.740]  So Zener knee voltage.
[09:07.200 --> 09:09.520]  That's how you read this abbreviation here.
[09:09.520 --> 09:20.620]  The Zener knee voltage is the voltage at which the diode junction breaks down due to the very, very high voltages across it.
[09:21.100 --> 09:25.420]  And as a result of that, the thing begins conducting again.
[09:25.420 --> 09:26.140]  Okay?
[09:26.140 --> 09:26.200]  Okay.
[09:26.200 --> 09:47.920]  And as also mentioned last meeting, which we'll get into as we go forward, there are special diodes that are manufactured where the knee voltage, the breakdown voltage, is controlled so that it happens at a rather much, much lower voltage potential.
[09:47.920 --> 09:58.000]  And these Zener's are basically designed to be used because of those voltage, lower voltage values, okay?
[09:58.040 --> 10:09.680]  And we'll get into the reason why you would want to use something like this, all right, in the appropriate time, right, after we've gone through the rest of it.
[10:09.680 --> 10:10.040]  Okay.
[10:10.040 --> 10:10.120]  Okay.
[10:10.540 --> 10:23.380]  So going forward from the last meeting, this is where we do a bit of understanding, mathematical modeling of the diode forward characteristic, okay?
[10:23.380 --> 10:30.100]  So this is where we start with a little bit of solving and understanding.
[10:30.100 --> 10:43.460]  So we start with a simple model of the diode in its forward conducting region, okay?
[10:43.600 --> 10:46.700]  Hindi na muna natin papansinin yung reverse bias.
[10:46.940 --> 10:58.460]  So for now, the reverse bias is just, you know, that it's non-conducting and practically zero current flows when it is not conducting.
[10:58.460 --> 11:01.020]  So we just put that there in the back of our mind.
[11:01.560 --> 11:06.740]  But we are now more interested in the forward conduction region.
[11:07.840 --> 11:14.580]  And as we stated, the forward conduction region is a rather complex-looking curve.
[11:15.580 --> 11:25.280]  So to simplify the mathematical modeling of this forward conduction exponential function, okay,
[11:25.280 --> 11:37.200]  we present and we look at three different models, all right, of increasing fidelity,
[11:37.700 --> 11:43.220]  meaning that they are closer and closer to the exponential but not quite, all right?
[11:44.580 --> 11:52.380]  But as a consequence of this increasing fidelity, each different model gets more complex.
[11:52.380 --> 12:08.400]  So the most simple, all right, of these three models is to model this simply as a single resistance value, R sub D, all right?
[12:08.400 --> 12:26.400]  And you would choose the R sub D, all right, based on where you anticipate the diode will be working at in the application, all right?
[12:26.440 --> 12:33.280]  In the application, how much current is this diode going to be operating at?
[12:33.280 --> 12:36.920]  And what is the resulting voltage across it?
[12:37.580 --> 12:45.260]  And by knowing these two parameters, you can calculate, obviously, an equivalent single resistor value,
[12:45.440 --> 12:50.360]  for which that resistance might be good enough as an approximation.
[12:50.360 --> 12:59.200]  Because remember that a resistance kind of function is just a straight line.
[12:59.800 --> 13:10.700]  So we try to choose a resistance value, which basically attempts to match this angle, if you like, of the exponential curve.
[13:10.820 --> 13:18.360]  And because it's exponential, of course, your resistor only approximates that exponential function.
[13:18.360 --> 13:30.400]  So within a small range, all right, within a small range, your simple resistor model might be good enough as an approximation.
[13:31.160 --> 13:33.460]  Again, parang paulit-ulit to, no?
[13:33.840 --> 13:36.380]  Good enough approximate, all right?
[13:36.840 --> 13:45.900]  Such that, you know, the resulting calculations are near enough that you can ignore, you know, the kind of error that you're going to get.
[13:45.900 --> 13:46.700]  Okay?
[13:47.340 --> 13:47.700]  All right.
[13:47.940 --> 13:58.800]  So as an example of this, determine the DC resistance levels for the diode in the figures shown at the right.
[13:59.220 --> 14:09.060]  If your I sub D is 2 milliampere, your I sub D is 20 milliampere, and if V sub D is negative 10 volts.
[14:09.340 --> 14:09.560]  Okay?
[14:09.620 --> 14:11.480]  So these are three different conditions.
[14:12.340 --> 14:12.740]  All right?
[14:12.740 --> 14:17.860]  And you're basically being asked to just look at these different points.
[14:18.220 --> 14:23.340]  And it's obviously very easy to answer as long as you have this graph to tell you, all right?
[14:23.440 --> 14:35.220]  And so by doing this, by just looking at a single point of operation of the diode, then the curve can be extrapolated.
[14:35.480 --> 14:38.500]  You just take the intersection to get the answer.
[14:38.500 --> 14:49.000]  And if you do it this way, all right, this is basically the equivalent of saying that, oh, this, whatever this operating point happens to be,
[14:49.400 --> 14:54.000]  can be approximated by an equivalent single resistor value.
[14:54.760 --> 14:55.140]  All right?
[14:55.280 --> 15:02.000]  But again, you're taking advantage of the fact that you do have this conduction curve as basis.
[15:02.000 --> 15:02.660]  All right?
[15:02.660 --> 15:14.580]  So to answer this question, if I sub D is 20 milliampere, you just draw this horizontal line until it intersects the actual curve,
[15:14.740 --> 15:19.600]  and then you drop it down vertically so that you get this 90-degree angle.
[15:19.600 --> 15:30.880]  And whatever the voltage intersection is, which in this case is 0.8 volts, you would say that V sub D, all right, is equal to whatever that thing intersects with.
[15:31.000 --> 15:33.700]  And so here's your answer for letter A.
[15:34.300 --> 15:36.100]  I sub D, 2 milliampere.
[15:36.200 --> 15:36.620]  Sorry.
[15:36.940 --> 15:37.100]  No.
[15:37.660 --> 15:38.240]  Sorry.
[15:38.240 --> 15:42.060]  That's for the letter B, all right?
[15:42.540 --> 15:57.000]  At I sub D of 20 milliampere, our forward conduction voltage is expected to be 0.8 volts, assuming that this figure is accurate for the diode that you're trying to model.
[15:57.540 --> 15:57.800]  Okay?
[15:58.260 --> 16:03.480]  At 2 milliampere, as you can see from the graph, again, 2 milliampere is this point here.
[16:03.480 --> 16:07.420]  You'll notice that this graph is nonlinear, all right?
[16:08.220 --> 16:09.340]  Or is it linear?
[16:09.620 --> 16:10.780]  Oh, well, yeah, it looks linear.
[16:11.260 --> 16:20.340]  2 milliampere is dropped down, and you'll see that this V sub D in this case is equal to 0.5 volts.
[16:20.780 --> 16:20.940]  Okay?
[16:21.540 --> 16:21.900]  All right?
[16:23.240 --> 16:30.860]  And from this relation, all right, you can actually calculate an R equivalent, all right?
[16:30.860 --> 16:38.100]  So the R equivalent in this case is 0.5 volts divided by 2 milliampere.
[16:38.480 --> 16:46.160]  And for the I sub D, it is 0.8 volts divided by 20 milliampere.
[16:46.280 --> 16:51.160]  And you'll see that this is not proportional at all, all right?
[16:51.160 --> 16:57.320]  The R equivalents in this case are vastly different in value from each other.
[16:58.100 --> 16:58.220]  Okay?
[16:58.780 --> 17:04.240]  So in case number one, 0.5 volts, all right?
[17:04.440 --> 17:13.480]  0.5 divided by 2 times 10 to the minus 3 gives you 250 ohms, all right?
[17:13.480 --> 17:28.600]  And in the second case, 0.8 volts divided by 20 times 10 to the minus 3, and you will get a value of 40 ohms, all right?
[17:28.940 --> 17:31.300]  So what is this telling you, essentially?
[17:31.300 --> 17:40.600]  That these two operating points, all right, have a very, very different equivalent resistance,
[17:41.160 --> 17:50.640]  which basically means that the diode's transfer function in its forward conduction region is very nonlinear.
[17:51.200 --> 17:57.780]  It's not a constant resistance at all, as you can see from these two radically different values.
[17:57.780 --> 17:58.220]  Okay?
[17:58.680 --> 17:58.940]  All right.
[17:59.020 --> 18:02.760]  So that's pretty simplistic, all right?
[18:02.940 --> 18:13.120]  And for the last one, with V sub D equals negative 10 volts, the thing more or less is conducting a very small amount of current.
[18:13.800 --> 18:25.220]  So we have essentially your I sub D being equal to negative 1 microampere,
[18:25.220 --> 18:28.720]  because it's more or less constant here, which is a very, very small value.
[18:29.360 --> 18:42.280]  And if you were asked, what is the equivalent resistance in the negative, all right, region where the thing is not supposed to be conducting?
[18:42.520 --> 18:47.700]  Well, there is still an equivalent resistance, and it's a very, very high value,
[18:48.120 --> 18:52.440]  which means that it's basically pretty much not conducting.
[18:52.440 --> 19:04.820]  So negative 10 divided by 1 microampere, we have an equivalent resistance for this last one of 10 megaohms,
[19:05.020 --> 19:09.000]  if my brain calculates it correctly.
[19:09.420 --> 19:09.500]  Okay?
[19:09.900 --> 19:12.940]  So look at that resistance value, all right?
[19:13.320 --> 19:20.540]  10 megaohms, 10 million ohms, which, you know, is hardly a path for electricity to flow.
[19:20.540 --> 19:21.300]  Okay?
[19:21.800 --> 19:22.060]  All right.
[19:22.140 --> 19:23.480]  Are there any questions about this?
[19:23.620 --> 19:26.240]  Pretty straightforward and simple enough, right?
[19:26.740 --> 19:27.060]  Okay?
[19:27.440 --> 19:28.160]  Any questions?
[19:32.540 --> 19:33.640]  Aray, may init yung kape.
[19:34.340 --> 19:35.880]  Tanong, nandyan pa ba kayo?
[19:36.020 --> 19:36.240]  Hello?
[19:38.620 --> 19:39.020]  Right now.
[19:40.940 --> 19:41.460]  Sige.
[19:41.780 --> 19:42.140]  All right.
[19:42.220 --> 19:42.660]  Thank you.
[19:42.660 --> 19:45.340]  So let's go forward with this.
[19:45.340 --> 19:46.700]  This is fairly simple.
[19:47.460 --> 19:47.560]  Okay?
[19:49.060 --> 20:06.520]  A more complex model, all right, takes into consideration the fact that the diode is likely to be used in a way that there is some kind of signal on it.
[20:06.520 --> 20:36.520]  All right?
[20:36.520 --> 20:40.760]  As the cue point or coefficient point, all right?
[20:41.140 --> 20:46.080]  Quoestient point or cue point, all right, of the operation.
[20:46.920 --> 20:52.540]  And we expect, for example, that we are going to have some kind of a signal on it.
[20:52.540 --> 21:08.820]  And as the signal increases and decreases in magnitude, the result will be that we will get a slight shift in the cue point, all right, or the coefficient point of the diode.
[21:08.820 --> 21:13.720]  So this signal goes along and the result, right?
[21:13.840 --> 21:27.200]  For example, with I sub d varying, all right, we are going to get a resulting change in the diode's forward voltage as well, all right?
[21:27.200 --> 21:40.500]  Now, given that it is an exponential curve, dependent on where we are and how big this magnitude is, we expect to see some small deviation in V sub d.
[21:42.400 --> 21:52.880]  Again, of course, to be able to determine this more exactly, you actually need to have the actual diode conduction curve to be able to derive it.
[21:52.880 --> 21:54.140]  Okay?
[21:54.580 --> 22:19.800]  But bottom line is, based on this dynamic condition, all right, changing condition, we can calculate an approximate equivalent resistance value as a single representative of this dynamic operating point with finite limits.
[22:19.800 --> 22:20.300]  Okay?
[22:20.300 --> 22:25.140]  So it's very, very important that, you know, this is well defined.
[22:25.560 --> 22:29.920]  What is this biggest and smallest value?
[22:31.200 --> 22:35.420]  Where will it intersect the conduction curve?
[22:36.180 --> 22:44.920]  And those intersection points can be used to calculate the equivalent resistance of the diode.
[22:45.580 --> 22:48.520]  Again, of course, it is only an approximation.
[22:48.520 --> 22:53.440]  It will be somewhere in that range, okay?
[22:53.560 --> 22:57.760]  It will be somewhere in that range of which we see here, okay?
[22:58.180 --> 23:08.240]  Now, the important thing to take note, all right, is that the calculation, all right, the calculation is going to result in an R sub d,
[23:08.240 --> 23:19.420]  which is representative of the tangent to those two points, those two extreme points on the curve.
[23:19.480 --> 23:28.000]  It will be a tangent value, which is represented essentially by this particular equation.
[23:28.460 --> 23:29.240]  Okay?
[23:29.240 --> 23:29.240] 
[23:29.240 --> 23:29.340]  Okay?
[23:29.340 --> 23:29.340] 
[23:29.340 --> 23:29.340] 
[23:29.340 --> 23:29.340] 
[23:29.340 --> 23:29.340] 
[23:29.340 --> 23:29.340] 
[23:29.340 --> 23:29.340] 
[23:29.340 --> 23:29.340] 
[23:29.340 --> 23:29.340] 
[23:29.340 --> 23:29.340] 
[23:29.340 --> 23:29.340] 
[23:29.340 --> 23:29.340] 
[23:29.340 --> 23:29.340] 
[23:29.340 --> 23:29.340] 
[23:29.340 --> 23:30.340]  Okay?
[23:30.340 --> 23:30.340] 
[23:30.340 --> 23:30.340] 
[23:30.340 --> 23:30.340] 
[23:30.340 --> 23:31.340]  Alright.
[23:31.340 --> 23:32.340]  Alright.
[23:32.340 --> 23:32.340] 
[23:32.340 --> 23:33.340]  Alright.
[23:33.340 --> 23:34.340]  Alright.
[23:34.340 --> 23:35.340]  Alright.
[23:35.340 --> 23:36.340]  Alright.
[23:36.340 --> 23:37.340]  Alright.
[23:37.340 --> 23:37.340] 
[23:37.340 --> 23:38.340]  Alright.
[23:38.340 --> 23:38.340] 
[23:38.340 --> 23:39.340]  Alright.
[23:39.340 --> 23:40.420]  Alright.
[23:40.420 --> 23:40.420] 
[23:40.420 --> 23:40.420] 
[23:40.420 --> 23:40.420] 
[23:40.420 --> 23:40.420] 
[23:40.420 --> 23:40.420] 
[23:40.420 --> 23:40.420] 
[23:40.420 --> 23:40.420] 
[23:40.420 --> 23:40.420] 
[23:40.420 --> 23:40.420] 
[23:40.420 --> 23:40.420] 
[23:40.420 --> 23:40.420] 
[23:40.420 --> 23:40.420] 
[23:40.420 --> 23:40.420] 
[23:40.420 --> 23:40.420] 
[23:40.420 --> 23:40.420] 
[23:40.420 --> 23:40.420] 
[23:40.420 --> 23:40.420] 
[23:40.420 --> 23:40.420] 
[23:40.420 --> 23:40.420] 
[23:40.420 --> 23:40.420] 
[23:40.420 --> 23:40.420] 
[23:40.420 --> 23:40.420] 
[23:40.420 --> 23:44.100]  notice that there's that 26 millivolts thing over there.
[23:44.100 --> 23:45.700]  Okay? All right.
[23:47.300 --> 23:55.380]  Okay? So of all things, this dynamic resistance value is pretty easy to actually calculate
[23:55.380 --> 24:02.420]  because for all the complexity, all right, as long as you are within this exponential
[24:02.420 --> 24:08.340]  kind of characteristic here, this V sub D is just being approximated to 26 millivolts,
[24:08.340 --> 24:13.780]  which is kind of weird actually. Okay. But anyway, that's how it's done. And so, well,
[24:13.780 --> 24:18.660]  personally, I don't use this as an approximation because it's not a particularly good way of doing it.
[24:19.380 --> 24:30.500]  All right? Now, the other calculation is the use of the average AC resistance. So the result is
[24:30.500 --> 24:37.860]  tangential to the line. Here, we're taking the average AC resistance, all right? And it is
[24:37.860 --> 24:44.740]  essentially determined by the straight line drawn between the two intersection points for the max
[24:44.740 --> 24:53.220]  and min values for the current, all right? So from there to there, okay, notice how the equation is a
[24:53.220 --> 25:00.420]  little bit different. Here, we're really using the delta VB, all right? Which is what you'll get from
[25:00.420 --> 25:07.300]  looking at this intersection points. You get the voltage here and you get the voltage here. You
[25:07.300 --> 25:15.380]  squint as best as you can, as with the small little eyes are at a major disadvantage. Okay? That is what
[25:15.380 --> 25:23.540]  you then substitute over here into delta VB. And then you, of course, get the max and the min currents.
[25:23.540 --> 25:34.660]  And that's your delta I sub D. And you calculate your equivalent AC average resistance. Okay?
[25:34.660 --> 25:43.780]  So the average resistance is a point that is here. All right? Whereas this other equation,
[25:43.780 --> 25:51.860]  all right, this other equation, this 26 millivolts over I sub D calculates a point that is basically
[25:51.860 --> 25:59.060]  here. It's tangential with the line. So there's a small difference in the resulting value. All right?
[25:59.060 --> 26:13.780]  And either one, all right? Either one is a better representation for the expected slight amount of dynamics
[26:13.780 --> 26:26.900]  associated with the diode in operation when you have a signal on it. Okay? And again, this is sort of
[26:26.900 --> 26:36.660]  expected, all right, you are expecting to use a diode with some kind of a signal. Because if not, then the diode is not
[26:36.660 --> 26:45.460]  really being used for anything. All right? So here again is the representation. So if you like.
[26:45.460 --> 27:00.260]  So DC or static is a signal point. AC or dynamic is essentially the tangential representative point for a
[27:00.900 --> 27:09.540]  system that has a signal that's always changing. All right? And the average AC basically calculates pretty much the
[27:09.540 --> 27:18.260]  same thing except that it is basically representing it as a linear function between the two extreme points.
[27:18.260 --> 27:21.940]  Okay? All right. So there you go with that. Okay?
[27:24.100 --> 27:31.860]  So at this point, of course, you're wondering, okay, what the hell is this? What do I use this for? Well, for all intents and purposes at this point,
[27:31.860 --> 27:40.580]  maybe, maybe, to be totally honest, it is good to know so that you know how to answer the questions in the quiz.
[27:40.580 --> 27:52.580]  Okay? Based on the question, there could be three different questions. Yet, we are sub-d equivalent for DC or static conditions
[27:52.580 --> 27:58.660]  for this particular diode operating with this current. Ayan, ganyan. Okay? So,
[27:58.660 --> 28:07.780]  So, para lang maisagot ang tanong sa quiz. Okay. All right. Okay, docks? Okay. So, let's go forward.
[28:08.500 --> 28:22.580]  Okay? We'll be using those equations a little bit over here. Again, where do we, what do we do? So, in, in, there are basically
[28:22.580 --> 28:41.060]  a few ways by which we can use our knowledge at this point to rapidly calculate or determine the resulting output
[28:41.700 --> 28:51.140]  of a circuit with a diode in place. So, that's important, I guess, to develop your knowledge.
[28:51.140 --> 29:03.780]  And more importantly, it is for you to be able to understand when and how to use a diode. Okay?
[29:03.780 --> 29:11.540]  So, we're going to be starting and looking at the operation of the diode. All right? And what you need to
[29:11.540 --> 29:21.140]  basically be able to understand is, ah, ito pala ang effect ng diode. All right? And because you hopefully
[29:21.140 --> 29:30.500]  understand that, when you encounter a situation where here's the input signal and this is the resulting
[29:30.500 --> 29:41.140]  output signal that I need, how do I need? How do I get from this output signal that I need?
[29:41.140 --> 29:50.260]  How do I do it? And maybe you'll be able to recall and say that, ah, I can use a diode or some diodes
[29:50.260 --> 29:58.900]  in a certain configuration to get from this input signal to this resulting output signal. Okay? So, again,
[29:58.900 --> 30:08.180]  that's what's important. It's just like you've understood resistors. Okay? And hopefully understood
[30:08.180 --> 30:18.500]  capacitors and inductors. These are components or devices that will help or provide you with the necessary
[30:18.500 --> 30:30.260]  signal manipulation to get from point A to point B. Okay? All right. So, let's look at this. Okay?
[30:30.260 --> 30:41.140]  So, the ideal diode, all right, would have a conduction curve that looks like this. Conduction and non-conduction curve.
[30:41.140 --> 30:52.100]  So, in an ideal diode, it is going to start conducting immediately even at zero volts. All right? And it will conduct
[30:52.820 --> 31:04.100]  fully without any resistive characteristic at all. So, the ideal diode, all right, has this. And when it is
[31:04.100 --> 31:15.780]  reverse biased, it will be essentially an open circuit. So, the ideal diode acts as a true on-off switch that
[31:15.780 --> 31:26.980]  automatically closes when we have current flowing in the correct open close quote direction and
[31:26.980 --> 31:38.020]  automatically opens when current attempts to flow in the opposite direction. Okay? So, we hope that the
[31:38.020 --> 31:48.260]  switch will basically close. Ah, sorry. All right. In the opposite direction, it remains an open circuit. And when the
[31:48.260 --> 31:56.500]  current is going to try to flow in the correct direction, it becomes a closed switch with zero
[31:56.500 --> 32:08.420]  zero resistance. So, it's an ideal diode. Okay? And as we said, unfortunately, there is no such thing as an ideal
[32:08.420 --> 32:19.060]  diode. We can only build devices, all right, that approximate that particular transfer characteristic.
[32:19.060 --> 32:34.740]  Okay? Okay. All right. So, we've already gone through this. We're okay with this. So, let's go to a slightly better
[32:35.300 --> 32:44.980]  approximation. Okay? So, now that we understand the characteristics of an ideal diode, how can we make an
[32:44.980 --> 32:58.660]  equivalent circuit model that better approximates the real diode? So, here is a slightly more complex model where we
[33:01.860 --> 33:09.380]  modify, all right, and add to the ideal diode
[33:09.380 --> 33:21.540]  diode with a simple 0.7 volt source, all right? This is for a silicon diode, by the way, all right? This is an
[33:21.540 --> 33:33.860]  approximation for a silicon diode, kaya 0.7 yan, all right? So, how does this work as a model, all right? Recall that our
[33:33.860 --> 33:43.060]  ideal diode begins conducting right at zero volts, whereas a real diode will have a curve that looks a little
[33:43.060 --> 33:54.260]  bit more basically like this. Okay? Mas gan to ang itsura, and we say that, oh, well, it really begins to
[33:54.260 --> 34:03.940]  conduct very well at 0.7. Okay? All right? So, it's a bit too far, especially here in this particular drawing where
[34:03.940 --> 34:12.900]  it's, I've made it in such a way that it's extremely visible. Okay? So, one way that we can approximate that
[34:13.620 --> 34:22.980]  is to have this additional 0.7 volts here, all right? Remember, the ideal diode starts conducting at zero,
[34:22.980 --> 34:34.500]  but by adding 0.7 volts, all right? By adding 0.7 volts here, we artificially increase the amount of
[34:34.500 --> 34:46.180]  voltage needed before the diode begins conducting. So, instead of zero, we need to get to above or equal to 0.7
[34:46.180 --> 34:55.060]  so that the resulting voltage across our ideal diode will become zero volts. Okay? So, notice, for example,
[34:55.060 --> 35:03.780]  all right? So, as I stated here, the current is attempting to flow in the correct direction. It's the same direction
[35:03.780 --> 35:12.260]  as the diode arrow, all right? The symbol's body is showing. So, pareho ang direction. So, this current
[35:12.260 --> 35:21.540]  will make the diode conduct, it's the correct direction. Okay? Normally, all right, the diode,
[35:21.540 --> 35:30.420]  the ideal diode will conduct already with even just zero volts across. But, okay, if we have actually
[35:30.420 --> 35:38.020]  zero volts across this, all right, if we actually have zero volts across this plus minus, you'll notice that
[35:38.020 --> 35:45.300]  the resulting KVL, all right, if you do a KVL here, this is not going to be zero.
[35:45.300 --> 35:52.260]  So, if we're zero here and we're KVL, all right, zero volts is the equivalent of saying that this is shorted,
[35:52.340 --> 35:58.500]  by the way, all right? If you do a KVL across here, you'll find that the voltage across the diode will be
[35:58.500 --> 36:06.180]  negative 0.7. So, as far as the ideal diode is concerned, ang nakikita niya is negative 0.7.
[36:06.180 --> 36:13.140]  And because it's a negative voltage, it will not actually conduct. So, for this whole region from
[36:13.140 --> 36:21.780]  here to here, our diode is not conducting at all because it sees a negative voltage. And only when the
[36:21.780 --> 36:31.380]  voltage here reaches 0.7, does the voltage across the diode become zero volts. And that's the point
[36:31.380 --> 36:39.220]  that our ideal diode will actually start conducting. Do you guys follow, all right? And so, because of
[36:39.220 --> 36:49.700]  that, the resulting transfer function, the conduction curve looks like this, where our model now has a
[36:49.700 --> 36:59.300]  better approximation of the real-world diode, because now its conduction characteristic basically looks
[36:59.940 --> 37:12.420]  like this, which is closer to the real-world diode, okay? So, model 2 with a constant voltage drop,
[37:12.420 --> 37:24.340]  okay? Is a better approximation of our real-world silicon diode because it includes that small voltage
[37:24.340 --> 37:32.340]  requirement, although, all right, that dynamic characteristic and the fact that it actually starts conducting at 0.5
[37:32.340 --> 37:40.420]  and then there's that exponential characteristic is not, of course, part of what it will allow you to see, okay?
