[00:00.000 --> 00:29.980]  Thank you.
[24:09.780 --> 24:17.640]  the diodes will take up and not be able to be zero volt conduction devices.
[24:17.640 --> 24:26.620]  They will take up 0.7 volts out of this, you know, and then, so it's a 0.7 plus 0.7.
[24:27.040 --> 24:40.580]  The output voltage here is going to be twice V1 minus 0.7 and minus a little more from the fact that the capacitors are discharging.
[24:40.880 --> 24:46.780]  So medyo lalayo talaga yan dun sa theoretical double voltage, okay?
[24:47.640 --> 24:55.720]  All right, now, the thing here is, well, it's still an interesting circuit with very, very practical uses
[24:55.720 --> 25:04.040]  because the ability to double the voltage in this case means that, well, why don't we look at it, all right?
[25:04.040 --> 25:09.060]  So if I have V in, all right, is there an explanation?
[25:09.500 --> 25:12.080]  Never, all right, but, you know, it's on the wrong page.
[25:12.080 --> 25:15.920]  Okay, so let's say I have this voltage here.
[25:17.060 --> 25:20.680]  This is V1, okay?
[25:21.380 --> 25:21.800]  All right?
[25:22.820 --> 25:27.160]  Oh, by the way, before you get the wrong impression, all right,
[25:27.700 --> 25:33.840]  the input voltage does not have to be sinusoidal, all right?
[25:33.840 --> 25:39.940]  It can be any alternating current voltage.
[25:39.940 --> 25:45.540]  So, in fact, all right, in fact, you might have an easier time.
[25:45.720 --> 25:54.480]  Sorry, I didn't think about this, but you might have an easier time understanding and visualizing how this circuit works, all right?
[25:54.480 --> 26:06.520]  And even the previous one, how it works, if we change the voltage, all right, here, the excitation voltage, V1,
[26:07.100 --> 26:13.080]  if we turn it into a square wave, and, you know, the circuit will function with the square wave.
[26:13.140 --> 26:16.120]  It doesn't really care what waveform it is, all right?
[26:16.120 --> 26:22.840]  So, let's change V1, all right, back to pen, sorry, all right?
[26:23.360 --> 26:28.260]  And let's say we have a square wave para madali ang buhay.
[26:28.700 --> 26:31.780]  Mas madaling mag-analyze ng square wave, okay?
[26:32.540 --> 26:44.380]  And let's say, for the sake of argument, our square wave is swinging plus 10 and minus 10 volts, okay?
[26:44.380 --> 26:46.980]  All right, all right?
[26:47.420 --> 26:49.360]  Now, here's the thing.
[26:50.940 --> 26:56.780]  If I have my V1, all right, if I have my V1,
[26:56.860 --> 27:01.360]  what am I going to do with a square wave coming out?
[27:02.220 --> 27:06.940]  And as I said, plus 10, minus 10, all right?
[27:06.980 --> 27:08.200]  So, here's my square wave.
[27:08.200 --> 27:15.600]  And then I put it into a standard rectified thing.
[27:18.040 --> 27:19.120]  Like so.
[27:19.780 --> 27:22.260]  And here's my V0, all right?
[27:22.720 --> 27:26.580]  What will the output of this circuit look like?
[27:26.700 --> 27:27.860]  Ito muna, all right?
[27:28.020 --> 27:33.780]  Ito muna para at least mas ma-appreciate natin at maintindihan yung voltage doubler.
[27:33.780 --> 27:38.340]  Ano yung itsura ng V0 natin, okay?
[27:39.120 --> 27:44.420]  So, here is our V1, all right?
[27:44.780 --> 27:46.680]  And let's draw this out.
[27:48.840 --> 27:50.520]  There's V1 here.
[27:50.520 --> 27:56.160]  Okay?
[27:56.420 --> 28:02.020]  And as I said, it is swinging plus 10, minus 10, okay?
[28:02.080 --> 28:07.180]  So, this is our V1, all right?
[28:07.280 --> 28:14.520]  So, my question is, what does VO look like through the rectifier?
[28:14.520 --> 28:26.380]  So, you probably, or I hope you do, you recognize and remember that this is a half-wave rectifier, all right?
[28:26.480 --> 28:28.920]  It's a half-wave rectifier.
[28:28.920 --> 28:41.540]  And given that the direction of the diode is like so, with your anode towards the source and your cathode towards the destination or load,
[28:42.040 --> 28:48.740]  you recognize this as a positive half-wave rectifier, all right?
[28:49.400 --> 28:51.720]  Just, you know, pedantic, pat-pat, pat.
[28:52.040 --> 28:53.740]  Half-wave, all right?
[28:53.840 --> 28:55.920]  So, positive half-wave rectifier.
[28:55.920 --> 29:08.420]  If we make the diode, all right, if we make the diode reversed like so, all right, then you'd call it as a negative half-wave rectifier.
[29:08.880 --> 29:08.920]  Okay?
[29:09.020 --> 29:12.740]  So, in this case, it's a positive half-wave rectifier.
[29:13.440 --> 29:19.280]  And what does the output waveform look like?
[29:20.100 --> 29:20.420]  All right?
[29:20.420 --> 29:29.220]  Now, given that it is a positive half-wave rectifier, we recognize that if this is on its positive cycle,
[29:29.520 --> 29:35.060]  the current will be going in the same direction as our diode where it will conduct.
[29:35.060 --> 29:48.260]  And so, therefore, even if we include that forward voltage of the diode, we will see that during this, because it rises very quickly, all right,
[29:48.560 --> 29:58.860]  our diode will conduct in the positive cycle and be a little bit less than the 10 volts, no?
[29:58.860 --> 30:05.740]  In fact, it will be at 9.3 volts because of 0.7 volts of drop, okay?
[30:05.820 --> 30:07.680]  And it will follow the waveform.
[30:08.240 --> 30:12.580]  And then as it goes through the negative cycle, it will stop conducting.
[30:13.380 --> 30:15.320]  So, the output becomes zero.
[30:16.960 --> 30:17.260]  Okay?
[30:17.260 --> 30:30.880]  And every time we hit a positive input cycle of the waveform, all right, of V1, our diode will conduct and almost reach positive 10.
[30:31.520 --> 30:31.900]  All right?
[30:32.080 --> 30:33.880]  It will be off by 0.7.
[30:34.440 --> 30:39.580]  And then, yun nga, towards this time where the thing goes negative, it stops conducting.
[30:39.580 --> 30:39.700]  Okay?
[30:41.480 --> 30:41.800]  Okay?
[30:42.320 --> 30:49.760]  And so, we're going to get this kind of an output waveform where this one is your V sub O.
[30:50.240 --> 30:50.540]  Okay?
[30:50.860 --> 30:51.200]  All right?
[30:51.420 --> 30:53.400]  So, are you following people?
[30:53.920 --> 30:54.260]  All right?
[30:54.940 --> 30:55.680]  Okay ba tayo?
[30:55.840 --> 30:56.600]  Naintindihan?
[30:57.420 --> 30:57.900]  Yes?
[30:58.360 --> 30:58.680]  Okay?
[31:02.180 --> 31:02.740]  Okay.
[31:03.520 --> 31:07.720]  So, square wave is a lot easier, di ba?
[31:07.720 --> 31:11.620]  It's a lot easier because you just say on, off, on, off, on, off.
[31:11.780 --> 31:11.960]  All right?
[31:12.060 --> 31:17.020]  Now, what happens when we have it going into a voltage doubler?
[31:17.220 --> 31:20.940]  Anong itsura ng ating output dito?
[31:21.940 --> 31:22.500]  Okay?
[31:22.640 --> 31:23.860]  So, let's find out.
[31:25.360 --> 31:25.680]  All right?
[31:26.100 --> 31:33.160]  So, during the positive excursion, right, during this part of the input cycle,
[31:33.160 --> 31:41.300]  we start out with the idea that the voltage across the...
[31:41.300 --> 31:41.460]  Wait.
[31:41.600 --> 31:41.740]  Okay.
[31:42.880 --> 31:44.200]  It's probably better.
[31:44.340 --> 31:44.480]  Sorry.
[31:45.260 --> 31:46.100]  Erase, erase, erase.
[31:46.560 --> 31:46.800]  Okay?
[31:46.960 --> 31:52.100]  Because of the way that the thing is configured, let's start out with the negative cycle.
[31:52.460 --> 31:52.640]  Okay?
[31:52.680 --> 31:53.160]  Dito muna.
[31:53.320 --> 31:53.880]  Wag to.
[31:54.360 --> 31:54.760]  All right?
[31:54.820 --> 31:57.040]  We start out with the negative part of the cycle.
[31:57.500 --> 31:57.720]  Okay?
[31:57.800 --> 32:00.440]  Just because it's less confusing if I do so.
[32:00.440 --> 32:02.500]  So, let's start with the negative cycle.
[32:02.660 --> 32:04.900]  So, let's call this phase A.
[32:05.540 --> 32:05.880]  All right?
[32:06.200 --> 32:10.900]  So, I have a current attempting to flow in this direction.
[32:12.320 --> 32:12.920]  Okay?
[32:13.640 --> 32:19.340]  And you'll notice that because it's attempting to flow in this counterclockwise direction.
[32:19.840 --> 32:20.160]  All right?
[32:20.520 --> 32:21.000]  Negative.
[32:21.240 --> 32:21.800]  All right?
[32:21.800 --> 32:31.400]  So, pag-gant to, and makikita nyo that this is in fact indeed in the direction of the first diode D2.
[32:32.020 --> 32:32.680]  All right?
[32:32.820 --> 32:35.200]  It's in fact in the direction of diode D2.
[32:35.580 --> 32:42.180]  And for the sake of simplicity, all right, we can assume that if D2 is conducting, it will short.
[32:42.760 --> 32:43.120]  All right?
[32:43.240 --> 32:45.640]  Wag na natin isipon yung extra 0.7 muna.
[32:45.640 --> 32:46.540]  All right?
[32:46.840 --> 32:56.840]  And if it is shorted, all right, what you can see is that this is in fact a minus plus, ilan volts to?
[32:56.980 --> 32:57.540]  10.
[32:58.120 --> 32:58.500]  All right?
[32:59.560 --> 33:04.920]  Shorted through the diode going into our capacitor C1.
[33:05.920 --> 33:06.600]  You're following.
[33:06.940 --> 33:07.220]  All right?
[33:07.300 --> 33:08.440]  There's that shorted diode.
[33:08.640 --> 33:10.200]  There's that D2.
[33:10.500 --> 33:13.020]  But it's acting as a short.
[33:13.020 --> 33:21.280]  So, you'll see that our 10 volt source appears to be connected basically to our capacitor.
[33:22.020 --> 33:22.200]  All right?
[33:22.240 --> 33:26.440]  If you want to redraw that, it looks basically like this.
[33:27.760 --> 33:28.000]  Okay?
[33:28.460 --> 33:29.800]  There is our capacitor.
[33:30.420 --> 33:34.160]  There is our D1, which is acting like a short circuit.
[33:34.500 --> 33:34.900]  All right?
[33:35.240 --> 33:37.360]  Connected to our capacitor C1.
[33:37.460 --> 33:38.140]  So, what happens?
[33:38.140 --> 33:47.960]  Well, pretty obviously, our C1 voltage, all right, will follow and have exactly the same voltage, which is 10 volts.
[33:48.920 --> 33:49.100]  Okay?
[33:49.100 --> 34:10.580]  So, during this negative portion of our input waveform, the power source, V1, charges the capacitor instantaneously to its voltage, which will be following this polarity like so.
[34:11.020 --> 34:13.800]  And this one is going to be 10 volts.
[34:14.060 --> 34:14.520]  You follow?
[34:15.240 --> 34:15.600]  All right?
[34:15.600 --> 34:45.600]  Okay?
[34:45.600 --> 34:49.740]  Therefore, our VO for now is zero.
[34:50.380 --> 34:50.620]  Okay?
[34:51.120 --> 34:52.360]  Are you following, people?
[34:52.500 --> 34:53.020]  Are we okay?
[34:53.960 --> 34:54.340]  All right?
[34:54.820 --> 34:55.380]  Nagues niyo?
[34:56.480 --> 34:57.080]  Okay?
[34:57.820 --> 34:58.240]  All right.
[34:58.360 --> 34:59.360]  Now, watch this.
[34:59.500 --> 34:59.800]  Magic.
[35:00.840 --> 35:01.220]  Okay?
[35:02.340 --> 35:09.020]  Now, what happens when we go into the next cycle where this one becomes positive?
[35:10.280 --> 35:10.580]  Okay?
[35:10.580 --> 35:13.620]  So, our polarity will change.
[35:14.760 --> 35:15.080]  All right?
[35:15.640 --> 35:17.540]  This is now plus 10.
[35:18.380 --> 35:26.760]  And the assumption, again, of course, is that the capacitor is not yet, or if, you know, hasn't had the chance to discharge.
[35:27.360 --> 35:37.760]  So, you'll see that this polarity, negative, positive, and our capacitor, which is also at the same voltage, has this polarity.
[35:37.760 --> 35:47.760]  So, pag tinignan niyo itong dalawa, ang total voltage natin ngayon dito ay 20 volts with this particular polarity.
[35:48.620 --> 35:52.080]  Plus on top, minus at the bottom.
[35:52.300 --> 35:54.720]  20 volts ang lumabas.
[35:56.720 --> 35:57.440]  Okay?
[35:57.600 --> 35:58.060]  Gets niyo?
