[00:00.000 --> 00:06.000]  We're in here.
[08:14.060 --> 08:22.560]  All right, so let's just erase some of the elements here because that's a quick reminder, and hopefully you will remember that.
[08:23.160 --> 08:26.120]  Okay, so let's get back to this, okay?
[08:26.620 --> 08:32.780]  Now, in this poorly designed illustration, all right, in this poorly designed illustration,
[08:33.620 --> 08:40.960]  the objective is simply to produce a signal, all right, that goes from 0 to 5 volts.
[08:40.960 --> 08:48.440]  So it's a bigger signal compared to the input signal, which is going from 0 to 1 volt, okay?
[08:48.900 --> 08:55.900]  And given this, the idea here is that we want to be able to calculate, all right,
[08:55.940 --> 09:02.700]  we want to be able to calculate the values needed to actually get this thing done.
[09:02.880 --> 09:06.080]  So let's have a quick look here, all right?
[09:06.600 --> 09:08.680]  And let's see what this is trying to tell us.
[09:08.680 --> 09:19.880]  So when the switch, when the transistor is fully turned on, what you're going to get essentially is the following.
[09:20.680 --> 09:32.700]  The IC sat is the maximum current that you can expect going through the collector when the transistor is fully saturated.
[09:32.700 --> 09:43.460]  And as we said, in saturation, we expect basically the VCE to be about 0.3 volts, all right?
[09:43.500 --> 09:45.540]  That's as far as it will go.
[09:45.900 --> 09:48.920]  It cannot really reach zero, okay?
[09:48.920 --> 09:59.620]  So as a very, very quick, you know, approximation, even if we assume that this is roughly equal to 0,
[10:00.100 --> 10:07.600]  then the maximum current that you're going to get essentially is the full voltage, no?
[10:07.600 --> 10:16.320]  If this VCE is 0, then the full voltage going through the resistor basically is equal to VCC.
[10:16.900 --> 10:21.200]  And that's what appears here at the numerator, okay?
[10:21.200 --> 10:29.720]  And RC then can be equated simply as VCC over IC saturation.
[10:30.280 --> 10:37.100]  Although in practice, really, you know, it's a very odd way of presenting it.
[10:37.100 --> 10:44.860]  As I said, it's a very, very poor problem as far as the examples can go, all right?
[10:44.860 --> 10:51.020]  Okay, so desired I sub C sat from the output characteristic plot.
[10:51.240 --> 10:54.260]  No, that's not really what you're trying to do here.
[10:54.940 --> 11:01.540]  The I sub C saturation typically is dependent on whatever you put as R sub C.
[11:01.800 --> 11:12.300]  Again, as I mentioned last Thursday, this is usually based on the load, what you are trying to turn on and off, okay?
[11:12.300 --> 11:19.000]  On the other hand, if you do put the resistor there, then it basically means that you're just trying to turn on and off the resistor.
[11:19.440 --> 11:25.520]  Or you're just trying to put a silly signal that is bigger than what it would have been, okay?
[11:25.880 --> 11:37.420]  So the other important equation here is to calculate how much base current you need at the minimum, all right?
[11:37.420 --> 11:39.520]  So this is what's missing again here.
[11:40.000 --> 11:45.460]  This equation is a minimum amount of base current that you need.
[11:46.060 --> 11:50.420]  And here the denominator is the beta, no?
[11:50.500 --> 11:57.360]  So it's based on how much collector current you're getting or you're going to pass through the transistor.
[11:57.360 --> 12:05.940]  You calculate based on beta, where, of course, IC is equal to beta IB, all right?
[12:06.000 --> 12:19.340]  And you just turn that equation around so that you can get the amount of base current that you need to turn the transistor into an on state, which is saturated.
[12:19.340 --> 12:24.620]  Now, this is the absolute minimum that you can calculate.
[12:24.820 --> 12:35.720]  It's very dangerous to use this because there's no guarantee that your assumed beta is going to be accurate, among other things.
[12:35.720 --> 12:48.260]  So it is highly recommended that for whatever calculation that you get out of this, make sure that you actually push more base current than what you calculate.
[12:48.400 --> 12:49.840]  So it's a minimum.
[12:50.640 --> 13:02.140]  In practice, always do something like maybe even twice as much current, all right, through the base, if that's possible, okay?
[13:02.140 --> 13:07.520]  All right, and so on that basis, you can now calculate your base resistor.
[13:08.080 --> 13:13.620]  If you know how much base current you want, then the equation is extremely simple.
[13:14.280 --> 13:27.580]  It's Vin minus that 0.7 volts divided by how much base current you want to have, and that allows you to calculate your R sub B, okay?
[13:27.580 --> 13:38.440]  All right, so that's pretty straightforward, and as I said, at least it says here, choose a lower Rb to ensure that more Ib can pass.
[13:38.940 --> 13:47.340]  But in this particular example, all right, this is done here as a calculation, and let's have a quick look at it.
[13:47.340 --> 13:58.400]  Determine Rb and Rc if the transistor inverter is going to be operated such that I sub saturation is equal to 10 milliampere.
[13:58.780 --> 14:02.140]  Okay, so it's an artificial problem, okay?
[14:02.140 --> 14:12.080]  Given that we are going to be assuming, all right, that the input signal is 10 volts, going all the way up to 10 volts.
[14:12.080 --> 14:22.000]  The output signal is also expected to go all the way to 10 volts and all the way as close to 0 as possible, okay?
[14:22.000 --> 14:32.520]  So the implication here is that this is basically powered by a 10 volt supply because we can see that it reaches 10 volts when the transistor is off.
[14:32.940 --> 14:46.340]  And it should go pretty close to 0 volts when the transistor is on, but realistically speaking, this is about 0.3 volts because that's the saturation voltage VCE.
[14:46.340 --> 14:53.980]  But again, worst case, all right, we're going to just say that it reaches 0, okay?
[14:54.140 --> 14:56.200]  So we're going to use that as the basis.
[14:56.380 --> 14:59.680]  The target IC is 10 milliampere.
[14:59.960 --> 15:10.480]  And so that's really easy to calculate because that obviously gives you an Rc, which is equal to 10 volts divided by 10 milliampere,
[15:10.680 --> 15:15.560]  which gives us a 1k ohm R sub C, okay?
[15:15.560 --> 15:24.520]  All right, and following through with that, okay, then we can calculate our I sub B, all right?
[15:24.580 --> 15:29.060]  But it doesn't provide us with a transistor beta.
[15:29.620 --> 15:31.280]  I think it's on the next slide.
[15:31.440 --> 15:33.540]  Somebody forgot to put it, okay?
[15:34.260 --> 15:36.180]  And so there it is, right?
[15:36.300 --> 15:37.800]  The beta is 250.
[15:38.100 --> 15:39.760]  Unfortunately, it's being covered.
[15:39.900 --> 15:42.100]  So let's erase this, right?
[15:42.100 --> 15:43.980]  250.
[15:45.180 --> 15:48.880]  And given that it's a 250, all right?
[15:49.200 --> 15:51.300]  Tama naman yung sagot natin kanina.
[15:51.760 --> 15:55.620]  We can now calculate our I sub B, all right?
[15:55.660 --> 16:04.940]  We can calculate our I sub B so that we can get our answer, all right?
[16:04.940 --> 16:18.480]  And so this results in 10 milliampere divided by 250 for the beta, which gives you a 40 microampere base current requirement.
[16:18.480 --> 16:24.080]  And proceeding with this bad practice, all right?
[16:24.580 --> 16:39.140]  You'll find that substituting, you'll find your Rb is equal to 232.5 kilo ohms, 10 minus 0.7, all right?
[16:39.140 --> 16:44.900]  Divided by 40 microampere gives you 232.5.
[16:45.240 --> 16:51.900]  And so the slide natally says 230k ohms for R sub B, all right?
[16:51.960 --> 16:54.000]  Now, this is something that I've added here.
[16:54.400 --> 16:58.220]  In practice, use something lower to ensure saturation.
[16:58.220 --> 17:20.520]  So again, I reiterate, to use the published beta is foolish because a manufacturer will provide you with a data sheet that produces an optimal sort of best case, typical beta.
[17:20.520 --> 17:24.920]  So a transistor's beta is not really constant.
[17:25.120 --> 17:26.960]  It might look like a curve like this.
[17:27.020 --> 17:28.060]  It might look like this.
[17:28.120 --> 17:31.840]  It might look pretty flat and then come tumbling down at higher currents.
[17:32.300 --> 17:35.080]  And sometimes at low currents, it's suboptimal.
[17:35.080 --> 17:41.960]  So generally speaking, all right, your beta curve, think of your beta curve as a curve.
[17:42.560 --> 17:43.660]  It really curves.
[17:43.660 --> 17:53.440]  And that maximum beta is what the transistor manufacturer provides on the data sheet.
[17:54.360 --> 17:54.500]  Okay?
[17:54.580 --> 18:01.360]  There's a parameter on the data sheet which is called HFE, which is basically equivalent of beta.
[18:01.920 --> 18:05.680]  It's one and the same parameter, just called something different.
[18:06.100 --> 18:09.500]  And we'll find out what HFE is in a later lecture.
[18:09.980 --> 18:12.400]  But anyway, that is transistor beta.
[18:12.400 --> 18:14.660]  They'll get it at its best.
[18:15.160 --> 18:25.960]  Now, you might be operating the transistor somewhere at a lower point or you might be at a higher current than that optimal point.
[18:26.240 --> 18:35.080]  And so do not assume that you'll ever really get the full possible beta because again, that's an optimal condition.
[18:35.080 --> 18:44.060]  So personally speaking, I would put in at least twice the base current that is calculated.
[18:45.000 --> 18:45.160]  Okay?
[18:45.280 --> 18:57.900]  So instead of 40, if you calculate that it should require 40 microamperes, I would recalculate that and say that, okay, times 2, it is 80 microamperes.
[18:57.900 --> 19:01.240]  At least 80 microamperes that I will target.
[19:01.580 --> 19:12.160]  I might go even more than that as long as the signal that is driving the transistor can handle that additional current.
[19:12.160 --> 19:12.760]  Okay?
[19:12.760 --> 19:13.000]  Okay?
[19:13.000 --> 19:17.560]  So for whatever you calculate here, it's a very, very simple thing.
[19:17.940 --> 19:19.540]  Just divide it by 2.
[19:19.980 --> 19:20.340]  All right?
[19:20.420 --> 19:24.800]  Just divide it by 2 so that your base current is twice what you calculated.
[19:25.180 --> 19:30.300]  So in this case, instead of using 230K ohms, which doesn't exist by the way.
[19:30.840 --> 19:31.160]  All right?
[19:31.220 --> 19:33.940]  So this would be a real life 220K.
[19:33.940 --> 19:39.100]  So instead of using 220K, I would put in a much lower value.
[19:39.620 --> 19:44.060]  So dividing that by 2, that's going to be 110K ohms.
[19:44.500 --> 19:49.960]  But it might be hard to find 110K because again, it's one of those weird values.
[19:50.280 --> 19:51.740]  So I'd go even lower.
[19:52.000 --> 19:56.840]  I would use 100 kilo ohms in this particular case.
[19:57.320 --> 19:57.700]  All right?
[19:57.920 --> 19:59.320]  So there you go.
[19:59.440 --> 20:01.400]  So please remember this.
[20:01.400 --> 20:02.820]  It's not on the slide.
[20:03.600 --> 20:03.860]  Okay?
[20:03.940 --> 20:05.280]  It is not on the slide.
[20:05.600 --> 20:12.660]  But I have mentioned it in this lecture several times.
[20:13.180 --> 20:13.460]  Okay?
[20:13.660 --> 20:15.360]  And trying to make that clear.
[20:16.160 --> 20:16.360]  Okay?
[20:17.060 --> 20:23.600]  So when you get to the quiz or whatever, more importantly, not in a quiz, but in the real
[20:23.600 --> 20:30.740]  life, in the real world, if you're faced with an interfacing issue or problem or application
[20:30.740 --> 20:37.680]  requirement, where you need to use a transistor as a switch, remember this lesson and remember
[20:37.680 --> 20:39.740]  what I have just stated.
[20:39.740 --> 20:40.580]  Okay?
[20:40.580 --> 20:41.080]  Okay?
[20:41.080 --> 20:45.800]  It does not hurt the transistor to put in more base current.
[20:45.800 --> 20:46.760]  Okay?
[20:46.760 --> 20:51.560]  It's an insurance that the transistor will operate as expected.
[20:51.560 --> 20:52.680]  Okay?
[20:52.680 --> 20:53.360]  All right?
[20:53.360 --> 20:53.520]  All right?
[20:53.520 --> 20:54.060]  All right?
[20:54.060 --> 21:01.920]  The only limitation, again, here, is the fact that when you attempt to put in more base
[21:01.920 --> 21:08.100]  current, this will obviously demand more from whatever signal is driving this thing.
[21:08.100 --> 21:17.420]  So in this particular case, 80 microamperes, 100 microamperes is a very, very small value.
[21:18.020 --> 21:27.000]  So it's very likely that whatever is driving it should have no issue with providing that little extra base current.
[21:27.780 --> 21:27.860]  Okay?
[21:28.360 --> 21:28.660]  All right.
[21:28.760 --> 21:30.440]  So that's it for that slide.
[21:31.040 --> 21:32.380]  I hope that's clear.
[21:34.080 --> 21:34.240]  Okay?
[21:35.080 --> 21:37.520]  Are there questions about this?
[21:38.100 --> 21:38.480]  Okay?
[21:38.660 --> 21:39.080]  Tanong.
[21:44.220 --> 21:44.820]  Questions?
[21:45.180 --> 21:45.480]  Questions?
[21:46.600 --> 21:47.300]  Are we clear?
[21:47.420 --> 21:56.640]  Can we get a thumbs up please to see that everybody has picked up this lesson and sort of understands?
[21:56.920 --> 21:57.260]  Okay.
[21:57.620 --> 21:58.200]  Very good.
[22:00.440 --> 22:00.720]  Wait.
[22:00.940 --> 22:01.200]  Okay.
[22:03.760 --> 22:05.680]  Yes, Mr. Infante.
[22:05.900 --> 22:06.480]  That's right.
[22:06.480 --> 22:10.260]  Dividing Rb by 2 will increase the base current by a factor of 2.
[22:12.040 --> 22:14.260]  Yes, it's more ideal.
[22:14.640 --> 22:15.460]  Oh my God.
[22:16.400 --> 22:18.480]  I have to repeat myself.
[22:21.020 --> 22:22.940]  It's more ideal.
[22:22.940 --> 22:30.020]  We want to ensure that there's more than enough base current to saturate the transistor.
[22:33.720 --> 22:34.360]  Okay?
[22:34.360 --> 22:34.460]  Okay.
[22:38.460 --> 22:39.140]  Ulitin ko.
[22:39.140 --> 22:40.340]  Mr. Infante.
[22:40.480 --> 22:41.680]  Makinig ka ng mabuti.
[22:43.140 --> 22:43.980]  Sinabi ko na.
[22:44.300 --> 22:51.080]  Ang beta na ganyan, hindi talaga normally ina-assume, naaabot.
[22:51.080 --> 22:59.920]  Because what's published is always on the highest possible value.
[23:00.240 --> 23:02.480]  This is what I've been drawing since a while ago.
[23:02.700 --> 23:02.960]  Please.
[23:03.500 --> 23:03.780]  Okay?
[23:03.780 --> 23:04.000]  Okay.
[23:05.560 --> 23:06.160]  Okay.
[23:06.160 --> 23:15.080]  So, individual transistors and the fact that you might be operating the transistor at a non-ideal point.
[23:15.080 --> 23:20.500]  How did you know that 10 milliampere is a nice operating current?
[23:20.640 --> 23:21.680]  But, you know, what the hell?
[23:22.080 --> 23:24.080]  So, it may not be 250.
[23:24.340 --> 23:26.400]  It might be less than 250.
[23:26.660 --> 23:30.160]  So, all right?
[23:30.360 --> 23:34.620]  We're keeping our fingers crossed really here that, you know, it's not as bad.
[23:34.620 --> 23:37.200]  You know, that it's half of that.
[23:38.040 --> 23:40.240]  Hopefully, it's better than half of that.
[23:40.800 --> 23:41.000]  Okay?
[23:41.920 --> 23:42.460]  Sige.
[23:43.460 --> 23:44.160]  All right.
[23:44.340 --> 23:45.400]  So, let's go forward.
[23:46.600 --> 23:46.980]  Okay?
[23:49.040 --> 23:50.020]  What is this?
[23:50.140 --> 23:50.300]  Okay.
[23:50.700 --> 23:52.080]  So, we're done.
[23:52.820 --> 23:55.300]  Babalikan natin ang transistor switching.
[23:55.660 --> 24:02.140]  We'll get back to that when we talk about digital logic in the future.
[24:02.140 --> 24:06.140]  As well as, you know, look at more interfacing problems.
[24:06.960 --> 24:10.400]  Because after all of, after this, all right?
[24:10.460 --> 24:14.960]  After this, we're looking, going to be looking into, what's this?
[24:15.320 --> 24:18.000]  The amplification itself.
[24:18.380 --> 24:18.700]  All right?
[24:18.760 --> 24:21.680]  This is why we're going to be looking at the LPSPY simulation.
[24:21.680 --> 24:34.860]  And we are also going to know how to hand calculate the expected amplification factor, more or less.
[24:35.580 --> 24:35.840]  All right?
[24:35.980 --> 24:41.100]  And then, after that, we look at transistor application.
[24:41.360 --> 24:43.180]  So, all of this is theoretical.
[24:43.700 --> 24:45.900]  You'll learn that, okay, I can use it as a switch.
[24:46.000 --> 24:48.320]  And I can use it as a linear amplifier.
[24:48.320 --> 24:52.080]  So, where do I use transistor?
[24:52.400 --> 24:57.120]  So, transistor applications will be the next, next topic.
[24:57.700 --> 24:57.940]  All right?
[24:58.060 --> 25:02.300]  And so, how do I put transistors together to produce this kind of a signal?
[25:02.740 --> 25:06.340]  Or to meet the requirements of the application.
[25:06.900 --> 25:07.160]  All right?
[25:07.160 --> 25:19.520]  So, transistor applications will be the next, next topic after understanding, you know, active region linear amplification.
[25:20.020 --> 25:20.180]  Okay?
[25:20.280 --> 25:24.900]  And to basically show you this, because, you know, we haven't gone to the lab.
[25:25.280 --> 25:26.780]  But, you know, this will do.
[25:26.780 --> 25:36.820]  So, I'm going to basically show you, right, what happens when we have a transistor circuit, basically, that looks like this.
[25:37.060 --> 25:45.600]  So, simulate the circuit below, display 10 cycles of the input current, collector current, and the voltage across the collector and emitter.
[25:45.600 --> 25:49.820]  With the input signal, so, oops, sorry.
[25:50.360 --> 25:51.060]  What the hell?
[25:51.360 --> 25:58.140]  With the input signal, I hit something on the tablet, which told the software to stop presenting.
[25:58.520 --> 26:05.760]  Let me just put it back on.
[26:06.540 --> 26:06.940]  Okay.
[26:07.700 --> 26:09.820]  And recapture it.
[26:09.880 --> 26:10.600]  Sorry about that.
[26:11.380 --> 26:11.960]  What the hell?
[26:12.660 --> 26:13.280]  Share.
[26:13.280 --> 26:13.280] 
[26:14.280 --> 26:15.280]  Sana punta.
[26:15.600 --> 26:18.280]  This is a joke.
[26:20.020 --> 26:21.400]  So, what was it that I hit?
[26:22.040 --> 26:22.200]  Okay.
[26:23.340 --> 26:24.200]  Stupid tablet.
[26:24.660 --> 26:24.780]  Okay.
[26:26.060 --> 26:30.060]  We're going to be looking at the simulation of this.
[26:30.420 --> 26:30.700]  All right?
[26:30.800 --> 26:34.860]  And the input signal is a sinusoidal signal.
[26:34.860 --> 26:37.120]  So, this is something that you might want to take note of.
[26:37.540 --> 26:37.860]  All right?
[26:38.000 --> 26:45.460]  Which is sort of expected when you're using the transistor as a linear amplification unit.
[26:45.600 --> 26:46.400]  So, you have a sinusoidal signal.
[26:46.400 --> 26:47.400]  So, you have a sinusoidal signal.
[26:47.400 --> 26:49.200]  So, you have a sinusoidal signal.
[26:49.200 --> 26:56.200]  Again, a sinusoidal signal is very convenient as an academic input.
[26:56.200 --> 26:59.800]  And even in practice in the laboratory, a sinusoidal signal.
[26:59.800 --> 27:03.540]  And even in practice, in the laboratory, a sinusoidal input will provide you with a nice continuous function.
[27:04.000 --> 27:04.640]  All right?
[27:04.800 --> 27:10.680]  Whose input amplitude is probably going to be way too large for this transistor.
[27:10.680 --> 27:12.280]  This is silly.
[27:12.280 --> 27:12.940]  All right?
[27:13.940 --> 27:19.780]  Stupid choice, again, of parameters here.
[27:19.980 --> 27:21.480]  So, I'm going to change this.
[27:21.560 --> 27:24.320]  We're going to have to adjust it a little bit.
[27:24.780 --> 27:25.080]  All right?
[27:25.080 --> 27:37.220]  But setting the frequency to 2,000 pi T, which basically is, if my brain is correct, is equal to 1,000 hertz.
[27:37.220 --> 27:37.780]  All right?
[27:37.880 --> 27:39.540]  This is equal to 1,000 hertz.
[27:39.960 --> 27:42.380]  So, we're going to simulate this.
[27:42.780 --> 27:43.300]  39K.
[27:43.400 --> 27:47.920]  Hopefully, this is a transistor that is not in saturation, which is going to be silly.
[27:48.640 --> 27:49.000]  All right?
[27:49.000 --> 27:53.220]  I remember we did a bit of calculation on this one before.
[27:54.420 --> 28:00.380]  And I don't remember what the VCE turned out to be.
[28:00.680 --> 28:02.780]  I could probably do that very quickly.
[28:05.140 --> 28:13.380]  But it's easier to just simulate it and see what happens.
[28:13.540 --> 28:13.680]  Okay?
[28:14.080 --> 28:16.200]  So, let's have a quick look at this.
[28:16.200 --> 28:18.700]  People just try to memorize this.
[28:19.660 --> 28:23.520]  39K, 3.9K, 10K, 1.5K.
[28:24.420 --> 28:36.260]  Coming from a supply of 22 volts, we are going to use my brain to just put in arbitrary values, workable values for the capacitors here.
[28:36.540 --> 28:38.820]  And we're going to try to simulate it.
[28:38.960 --> 28:39.100]  Okay?
[28:39.160 --> 28:42.200]  So, I'm going to stop sharing for this one.
[28:42.800 --> 28:43.260]  Okay?
[28:43.260 --> 28:45.720]  And let's put it up.
[28:47.020 --> 28:48.520]  Where's my LTSpice?
[28:51.920 --> 28:52.360]  Here.
[28:56.780 --> 28:59.440]  As usual, it's stupidly trying to update.
[29:00.020 --> 29:02.360]  And I have to tell it, no, don't update.
[29:03.420 --> 29:03.720]  Okay?
[29:03.720 --> 29:08.680]  And let me just share the LTSpice screen right now.
[29:08.760 --> 29:09.340]  It's blank.
[29:10.760 --> 29:11.040]  Okay?
[29:11.800 --> 29:23.740]  And, of course, we shall put in a new schematic with the components as stated.
[29:23.740 --> 29:24.240]  Okay?
[29:24.240 --> 29:25.540]  So, hang on.
[29:25.540 --> 29:30.980]  I might as well start with the two resistors.
[29:31.680 --> 29:34.780]  And then we have our collector resistor.
[29:35.520 --> 29:38.980]  And we have our emitter resistor.
[29:38.980 --> 29:46.560]  And let's put in our NPN transistor, which should be this one here.
[29:47.560 --> 29:47.900]  Okay?
[29:48.080 --> 29:50.860]  And there we go.
[29:52.000 --> 29:52.420]  All right?
[29:52.500 --> 29:56.400]  And, of course, we need our supply voltage.
[29:56.400 --> 29:58.660]  And that's over here.
[29:59.360 --> 30:00.780]  Let's just put that there.
[30:01.880 --> 30:03.740]  Voltage is 22.
[30:04.840 --> 30:05.160]  Okay?
[30:05.360 --> 30:12.900]  And let's put in our connections before putting in the actual values.
[30:14.280 --> 30:14.580]  Okay?
[30:14.580 --> 30:26.400]  Sorry if this is kind of clunky, but it's so much easier to just draw this by hand, actually.
[30:26.740 --> 30:27.340]  Oh, sorry.
[30:28.760 --> 30:32.380]  But computers.
[30:32.380 --> 30:33.440]  Oh, boy.
[30:35.020 --> 30:35.580]  Okay.
[30:35.900 --> 30:38.200]  And this one goes here.
[30:38.340 --> 30:42.720]  And, of course, that is supposed to go to ground as well.
[30:42.720 --> 30:45.340]  So, I might as well just put the symbol over there.
[30:45.660 --> 30:46.260]  There we go.
[30:46.340 --> 30:46.980]  That's ground.
[30:47.100 --> 30:50.480]  This is supposed to be a 39K.
[30:51.300 --> 30:56.040]  This lower one, if you might recall, is 3.9 kOhms.
[30:56.480 --> 31:01.720]  This is a 1.5K, which I would adjust if needed.
[31:02.700 --> 31:02.920]  Right?
[31:03.020 --> 31:04.880]  This one is a 10K.
[31:05.700 --> 31:09.700]  And it didn't really say anything as to what transistor it is.
[31:09.700 --> 31:17.880]  But we might as well put in the all-time favorite 2N2222, which is readily available.
[31:19.820 --> 31:22.640]  Although I'm not too confident with...
[31:22.640 --> 31:25.560]  Well, in this case, the beta is 200.
[31:26.360 --> 31:29.000]  And I guess that's okay.
[31:29.900 --> 31:32.440]  It's not 140 like it was stated there.
[31:32.540 --> 31:33.180]  But what the hell?
[31:33.240 --> 31:33.940]  That's good enough.
[31:33.940 --> 31:34.800]  All right.
[31:35.020 --> 31:37.740]  And, oh, I forgot the voltage.
