[00:00.000 --> 00:29.980]  Thank you.
[04:07.220 --> 04:10.060]  When you plug them into the outlet, they're all connected in parallel.
[04:10.060 --> 04:21.120]  So you might be tempted to think that you can take LEDs, for example, and simply connect them in parallel, all right?
[04:21.260 --> 04:29.420]  Like so, for example, I want to have three LEDs connected together, all right?
[04:29.520 --> 04:37.920]  And I'll put a series resistor because that's what's needed to hold the current to a reasonable limit.
[04:37.920 --> 04:44.380]  Remember that the LED conduction curve basically means that you have to current limit it.
[04:44.480 --> 04:53.100]  If not, there's nothing to control how much current it will take in and the LED will blow up, okay?
[04:53.400 --> 04:59.860]  So if we have three LEDs connected like this, is this going to work properly?
[04:59.860 --> 05:09.820]  Okay, so the answer basically is if the LEDs have a reasonably matched forward voltage,
[05:10.580 --> 05:18.260]  which means that they generally have to come from the same color, all right?
[05:18.320 --> 05:29.000]  If they're of the same color and they are manufactured by the same manufacturer, all right?
[05:29.000 --> 05:41.740]  Then, yes, they will have roughly the same forward voltage and you can get away with paralleling the units
[05:41.740 --> 05:46.420]  and they will light up more or less with the same brightness, okay?
[05:46.420 --> 05:52.680]  However, if you attempt to do something like combine, all right?
[05:52.780 --> 06:02.180]  A red LED, which happens to have something like a 1.7 volt forward voltage, okay?
[06:02.860 --> 06:07.560]  And you paralleled it with the blue LED, for example, all right?
[06:07.560 --> 06:16.360]  So I have a red here, a blue here, and for example, a green, all right?
[06:16.960 --> 06:19.900]  Will this actually light up?
[06:20.920 --> 06:33.380]  And the answer is it's definite that they will not all light up when you do this, all right?
[06:33.380 --> 06:34.660]  Why not?
[06:35.280 --> 06:44.800]  Well, as you can see, the color or the LED forward voltages are different from each other, okay?
[06:45.200 --> 06:47.220]  So we go over here as an example.
[06:48.360 --> 06:56.380]  And say you try to light up, you know, the LEDs by putting that parallel combination.
[06:56.380 --> 07:06.360]  You'll notice that the red LED, for example, if you push something like 20 milliampperes through the red LED,
[07:07.500 --> 07:16.380]  its forward voltage is going to be, as stated, somewhere around the 1.6, 1.7 volts voltage.
[07:17.320 --> 07:25.700]  So you can write this and say that, oh, okay, I'm going to get about 1.7 volts across the LED, right?
[07:25.700 --> 07:34.660]  Now, in comparison to that, if you look at the blue as an example, the blue LED is way over here.
[07:35.600 --> 07:41.520]  So with a forward voltage of 1.7, remember that they are in parallel.
[07:42.700 --> 07:50.240]  If they are in parallel, then 1.7 across this guy means that there is also 1.7 across this guy,
[07:50.580 --> 07:53.780]  which also means that this is 1.7 across the green.
[07:53.780 --> 08:06.460]  And you'll notice that at 1.7 volts, 1.7 volts never intersects the green nor the blue, okay?
[08:06.920 --> 08:13.420]  It does not intersect the green or the blue conduction line, right?
[08:13.420 --> 08:20.400]  So, or if it does, well, okay, you can argue that it does way down here, right?
[08:21.340 --> 08:29.920]  Which means that your red LED will be glowing really brightly,
[08:30.700 --> 08:35.500]  whereas if you even get any light out of the green or the blue,
[08:36.060 --> 08:39.000]  it is going to be extremely dim.
[08:39.000 --> 08:44.920]  There's very, very little current flowing through it, if ever there is any.
[08:45.480 --> 08:51.500]  So you could, in fact, if you had a bunch of sample LEDs, you could try this out, no?
[08:51.500 --> 09:05.120]  So paralleling LEDs of different colors almost guarantees that there is going to be one or more
[09:05.120 --> 09:10.540]  that is not going to be lit as brightly as the other, okay?
[09:10.800 --> 09:13.380]  So that's the bottom line, okay?
[09:13.380 --> 09:22.520]  You'll get a lot more, you know, synchronization in terms of lighting up.
[09:22.620 --> 09:30.840]  If your colors are, you know, the type of LEDs that have a similar forward voltage.
[09:30.980 --> 09:35.560]  Oh, by the way, one thing, don't take these graphs too seriously, no?
[09:35.600 --> 09:37.060]  This is just an example.
[09:37.060 --> 09:46.240]  For example, the graphs here do not actually correspond to the voltages as presented in this previous slide.
[09:46.760 --> 09:54.060]  For example, the blue is 2.5 to 3.7.
[09:54.860 --> 09:58.340]  The green is 1.9, right?
[09:58.760 --> 09:59.320]  To 4.
[09:59.320 --> 10:04.040]  And if you look at that, this lower bound is very, very far apart.
[10:04.480 --> 10:09.980]  Yet when it comes to the curve, you see that these two are supposed to be very, very similar to each other,
[10:10.080 --> 10:12.680]  which is obviously not true, okay?
[10:12.680 --> 10:21.420]  So please take note that this is just, you know, for entertainment, if you like,
[10:21.560 --> 10:30.740]  or, you know, purpose of emphasizing that the forward voltages are quite different from each other.
[10:30.860 --> 10:32.960]  So don't take the graphs too seriously.
[10:33.180 --> 10:36.320]  But bottom line is, yes, they are quite different.
[10:36.320 --> 10:45.900]  And so therefore, if you wanted to light up different LEDs, all right, different colored LEDs,
[10:46.840 --> 10:50.720]  typically you will not be able to do that in parallel.
[10:51.040 --> 10:58.760]  Either you put an individual resistor each, all right, like this,
[10:58.760 --> 11:06.380]  so that each one can develop its own forward voltage.
[11:06.840 --> 11:10.160]  And you have to take that into consideration, all right?
[11:10.680 --> 11:14.180]  If this is the green, then it will forward bias at 1.9.
[11:14.280 --> 11:16.720]  This red will forward bias at 1.7.
[11:17.260 --> 11:22.520]  And our blue will forward bias at 2.5 volts, all right?
[11:22.520 --> 11:31.520]  And then you now have the ability to set the amount of current flowing individually,
[11:31.520 --> 11:36.040]  which is going to be dependent on your supply voltage going in
[11:36.040 --> 11:40.240]  and you calculating a different resistor,
[11:40.560 --> 11:46.720]  one for the red, one for the blue, and one for the green individually
[11:46.720 --> 11:51.600]  so that you can set the amount of current flowing through the diode.
[11:51.600 --> 11:55.500]  And thus setting its brightness, okay?
[11:55.980 --> 12:00.840]  The other factor that's of importance, which you may or may not be aware,
[12:01.300 --> 12:09.740]  is that these LEDs with their different colors do have different, if you like, efficiencies, all right?
[12:10.360 --> 12:17.360]  The blue LED, for example, takes very little current to light up pretty brightly.
[12:17.360 --> 12:23.460]  And that's despite the fact that the human eye is not particularly, you know, sensitized to blue.
[12:23.660 --> 12:27.460]  Our blue perception is kind of weak, all right?
[12:27.580 --> 12:35.620]  So blue LEDs are actually high, very, very bright for the amount of current flowing through them.
[12:35.620 --> 12:41.540]  So you might have to just simply throw in the towel and say, okay,
[12:41.700 --> 12:48.060]  that means that, you know, I'll have to use different resistor values to set the different currents
[12:48.060 --> 12:56.120]  just so that the presentation of the different colors have roughly the same brightness.
[12:56.920 --> 12:57.220]  Okay?
[12:57.220 --> 12:59.680]  So I hope that that's clear.
[13:00.780 --> 13:00.900]  Okay?
[13:01.460 --> 13:08.860]  The other thing that, well, the last touch or piece of information that I'd like to point out,
[13:08.940 --> 13:13.980]  this is more of a complaint, is that a lot of the products that we see on the market nowadays,
[13:14.180 --> 13:18.920]  for some weird reason, like to light up the LEDs extremely bright.
[13:18.920 --> 13:24.640]  This is true, for example, for computer fans and stuff like that.
[13:24.680 --> 13:26.740]  Well, I guess because you want to attract attention.
[13:27.660 --> 13:34.360]  But even manufacturers of everyday appliances, like an air conditioner,
[13:35.080 --> 13:39.000]  tend to always have the LEDs a little bit too bright.
[13:39.140 --> 13:44.200]  And this is really annoying because when it comes down to nighttime or whatever,
[13:44.200 --> 13:49.840]  it's very annoying to have this air conditioner with these LED lights, you know,
[13:50.100 --> 13:54.400]  lighting up that little portion in the room such that, you know,
[13:54.460 --> 13:57.120]  when you're trying to sleep, it's really bothersome.
[13:57.460 --> 14:05.300]  So fortunately, most manufacturers recognize this and they give you the option to,
[14:05.380 --> 14:09.340]  you know, set it in such a way that either the LEDs are dimmed out
[14:09.340 --> 14:17.260]  or they're turned off completely so that they don't indicate anything anymore after you turn it on.
[14:17.980 --> 14:19.080]  Okay, so there you go.
[14:19.320 --> 14:21.940]  Are there questions at this point?
[14:22.020 --> 14:25.060]  So you might want to see this, no?
[14:25.180 --> 14:32.620]  So for an indicator LED, using LEDs basically that look something like this,
[14:33.260 --> 14:37.580]  your starting point should be about 5 milliampers.
[14:37.580 --> 14:43.000]  You see a lot of books and references say that, you know,
[14:43.080 --> 14:45.620]  you should go for something like 20 milliampers.
[14:46.000 --> 14:48.400]  That is actually way too high.
[14:49.100 --> 14:54.000]  It will not give you a very, you know, it's going to be very bright.
[14:54.460 --> 15:02.020]  Whereas 5 milliampers is still bright typically and enough for the LED
[15:02.020 --> 15:08.740]  to visibly be distinguishably on and indicating that, hey, I'm on.
[15:09.280 --> 15:13.020]  So even 1 to 2 milliampers is visible.
[15:13.400 --> 15:21.040]  So 5 milliampers is heaps unless the LED is working in bright sunlight or whatever, you know.
[15:21.040 --> 15:32.000]  So 5 milliampers is what I can recommend as a starting point for how much current you design the circuit to push into the LED
[15:32.000 --> 15:37.460]  if you are trying to make something with, you know, these as indicators.
[15:38.140 --> 15:38.280]  Okay.
[15:38.760 --> 15:39.160]  All right.
[15:39.460 --> 15:42.580]  So calculate it as such.
[15:42.840 --> 15:43.060]  All right.
[15:43.060 --> 15:50.160]  So an example, all right, I want to light up a particular LED, whatever it happens to be.
[15:50.940 --> 16:00.700]  We know that the forward voltage at the current that it is being designed for, all right,
[16:00.700 --> 16:08.000]  is 10 milliampers and its forward voltage is going to be 1.8 volts.
[16:08.140 --> 16:09.240]  Where did that come from?
[16:09.240 --> 16:13.160]  Maybe you had a graph that was like this, assuming that it was accurate.
[16:14.300 --> 16:14.580]  All right.
[16:15.040 --> 16:24.680]  And so 10 milliampers, you know, it would have a forward voltage of 1.8 volts.
[16:24.880 --> 16:30.540]  So perhaps that LED happens to be a yellow LED, right?
[16:31.620 --> 16:36.140]  So, well, yeah, the color of the LED is yellowish, orange yellowish.
[16:36.200 --> 16:37.840]  So maybe it is a yellow LED.
[16:37.840 --> 16:40.160]  So it's 1.8 volts.
[16:40.700 --> 16:44.260]  So the supply voltage happens to be 5 volts.
[16:44.700 --> 16:50.820]  What's the correct resistor value to give you this operating condition?
[16:51.140 --> 16:52.980]  So the formula is very simple.
[16:53.580 --> 17:04.340]  You calculate the series resistor based on the voltage drop anticipated divided by the current that you want to go through.
[17:04.340 --> 17:06.360]  So you're going to substitute this.
[17:06.360 --> 17:08.720]  The source voltage is 5 volts.
[17:09.200 --> 17:17.640]  The forward voltage is predicted to be 1.8 volts at a current of 10 milliampers.
[17:17.880 --> 17:20.900]  And you get your series resistor value.
[17:21.200 --> 17:28.720]  And going through the calculations, you'll find that that is a value of 320 ohms, which, of course, does not exist.
[17:28.720 --> 17:40.960]  So just look for a resistor that is easily purchasable or is in your junk box, which is of close enough value.
[17:40.960 --> 17:50.820]  So based on the EIA 12 series of resistors, the closest match would be a 330 ohms.
[17:50.820 --> 18:01.900]  And it's recommended that you go higher than the calculated series resistance value so that you don't push the LED to a higher current.
[18:01.900 --> 18:13.380]  Instead, it's always better to run LEDs at a lower current because low current equals longer life.
[18:13.380 --> 18:14.300]  All right.
[18:14.820 --> 18:18.060]  So LEDs are subject to degradation.
[18:19.060 --> 18:25.720]  You probably noticed that the LEDs in your house are, you know, when you first install them, they're very bright.
[18:25.900 --> 18:33.020]  And then after some time, very short amounts of time, you may have perceived that they are less bright than before.
[18:33.520 --> 18:35.520]  This is not because of dirt.
[18:35.880 --> 18:38.780]  This is because the LEDs are degrading.
[18:38.780 --> 18:39.220]  All right.
[18:39.220 --> 18:46.660]  They have this mechanism where the light output will go down.
[18:47.100 --> 18:47.740]  All right.
[18:47.800 --> 18:48.580]  Over time.
[18:48.580 --> 18:59.000]  And if you always run the LEDs at high currents, meaning that they, you know, they're operated very hard, they get very hot.
[18:59.340 --> 19:04.060]  This will contribute to how quickly the LED itself degrades.
[19:04.520 --> 19:04.680]  Okay.
[19:04.680 --> 19:11.740]  So it's always better to just run them on low current because that will make their life much longer.
[19:12.360 --> 19:12.700]  Okay.
[19:13.140 --> 19:13.520]  All right.
[19:13.640 --> 19:15.160]  So I hope that's clear.
[19:15.540 --> 19:16.600]  Are there questions?
[19:17.160 --> 19:18.080]  Can we go forward?
[19:18.200 --> 19:20.040]  This is the last stuff about LEDs.
[19:21.080 --> 19:22.760]  Will we get the thumbs up, please?
[19:22.760 --> 19:23.760]  Okay.
[19:28.220 --> 19:28.740]  Okay.
[19:29.100 --> 19:34.420]  So let's go to, you know, just a couple of diodes that, you know, exist.
[19:36.240 --> 19:42.480]  So, so far, what you've seen are diodes can be used for rectification.
[19:42.840 --> 19:44.260]  Diodes can be used for lighting.
[19:44.520 --> 19:47.520]  Diodes can be used for clipping and clamping.
[19:48.000 --> 19:48.380]  All right.
[19:48.380 --> 19:48.420]  Okay.
[19:49.580 --> 19:58.100]  And of course, you have your Zener diodes, which provide, you know, voltage regulation or voltage referencing.
[19:59.060 --> 19:59.200]  Okay.
[19:59.340 --> 20:04.540]  So those are the diodes that we've taken up so far, but there are many different other kinds of diodes as well.
[20:05.540 --> 20:15.920]  Sometimes with the same function, but for a specific region or operation where ordinary diodes cannot be used.
[20:15.920 --> 20:18.240]  So let's have a look at that.
[20:18.580 --> 20:18.680]  Okay.
[20:19.080 --> 20:30.500]  So one of the diode designs would be, you know, or variations would be what is called as a varactor diode.
[20:31.300 --> 20:37.520]  You might want to take note of things like this because obviously it's going to be released in the quiz, in the objective questions.
[20:38.100 --> 20:38.340]  Okay.
[20:38.340 --> 20:42.580]  So a varactor diode is a special diode.
[20:42.580 --> 20:47.020]  There's a lot of sentences and phrases that are stated here.
[20:47.160 --> 20:50.360]  So let me just try to make it more concise.
[20:50.920 --> 21:01.720]  A varactor diode is a special diode where it's the capacitance of the diode junction itself is its important characteristic.
[21:02.600 --> 21:02.860]  Okay.
[21:02.860 --> 21:02.900]  Okay.
[21:03.380 --> 21:07.620]  So the junction capacitance, the capacitance of the diode itself.
[21:07.920 --> 21:08.300]  All right.
[21:08.680 --> 21:15.740]  The capacitance of the diode itself, which has this kind of a symbol, by the way, you can see the capacitor there.
[21:16.200 --> 21:16.500]  Okay.
[21:16.500 --> 21:18.780]  It's part of the drawing.
[21:18.780 --> 21:19.980]  It's a single thing.
[21:20.140 --> 21:22.900]  It's not that, you know, it's not two separate parts.
[21:23.520 --> 21:23.700]  All right.
[21:23.700 --> 21:28.100]  The capacitance of the junction of the diode has been enhanced.
[21:28.620 --> 21:29.460]  All right.
[21:29.840 --> 21:34.260]  So that it becomes, you know, significant.
[21:35.040 --> 21:49.020]  Under normal circumstances, you don't want a significant amount of capacitance because this will mean that the ability of the diode to switch on and off will be slower, which limits its high frequency applicability.
[21:49.020 --> 21:53.480]  But in this particular case, for rectification, all right, for rectification.
[21:54.100 --> 22:04.240]  But in this particular case, these values have been specially designed so that the capacitance is actually big or as big as possible or has a target value.
[22:05.120 --> 22:10.720]  And the whole idea here is that this capacitance can actually vary.
[22:10.980 --> 22:13.820]  There's that symbol of having the ability to vary.
[22:13.820 --> 22:19.980]  It's a diagonal arrow, which means that it's a variable amount of capacitance.
[22:20.920 --> 22:30.860]  The amount of capacitance of the junction changes with the bias, right, with the voltage across the diode.
[22:31.660 --> 22:31.840]  Okay.
[22:31.840 --> 22:40.260]  So lumalaki at lumiliit yung capacitance through a change in voltage across the diode.
[22:40.260 --> 22:44.020]  And what is the use of such a thing?
[22:44.020 --> 22:56.640]  Well, nowadays, for example, almost all of our devices that are using radio frequencies to do something,
[22:56.640 --> 23:10.380]  a.k.a. you know, radios, smartphones, all right, televisions, which need to select a particular channel,
[23:11.480 --> 23:17.540]  a.k.a. frequency over the air, for example, to receive a particular station.
[23:17.540 --> 23:18.900]  Okay.
[23:18.900 --> 23:31.060]  You might wonder, okay, so how does the circuit inside select a particular range of frequencies or a frequency band to actually receive?
[23:31.060 --> 23:43.800]  Well, the answer to that is that in traditional systems before, you had what you call as a tuned radio frequency circuit.
[23:43.940 --> 23:50.680]  That tuned radio frequency circuit usually was composed of an inductor and a capacitor,
[23:51.320 --> 23:56.840]  either in this configuration, which is in parallel, or in series.
[23:56.840 --> 23:57.840]  Okay.
[23:57.840 --> 23:58.400]  Okay.
[23:58.520 --> 24:01.040]  Most of the time, it was in parallel, to be honest.
[24:01.180 --> 24:02.040]  Not this one.
[24:02.100 --> 24:02.940]  This was harder to use.
[24:03.260 --> 24:03.380]  Okay.
[24:03.600 --> 24:08.420]  So a parallel combination of inductor and capacitor.
[24:08.680 --> 24:12.820]  And they had to make one of those variables so that when you turn something,
[24:13.420 --> 24:18.240]  the frequency that the thing receives will change.
[24:18.680 --> 24:18.900]  Okay.
[24:19.180 --> 24:24.440]  So yung radio, gusto kong makinig sa 97.1 megahertz.
[24:24.440 --> 24:31.320]  So you turn the knob, all right, and, you know, the circuit goes over and tunes itself
[24:31.320 --> 24:38.400]  and receives only the frequencies near 97.1, centered at 97.1.
[24:38.560 --> 24:39.500]  How was that done?
[24:39.500 --> 24:51.140]  Well, again, the capacitance and inductance combined, you remember the parallel resist inductor-capacitor formula from C-Tron 1, all right?
[24:51.140 --> 24:56.280]  So when you tune the knob, you're actually changing the capacitance inside.
[24:57.320 --> 25:05.900]  So that can be done if you turn it or have something that will provide that rotary motion.
[25:06.540 --> 25:11.120]  But you'll notice that today's devices don't have anything like that.
[25:11.220 --> 25:13.500]  It's all electronically tuned.
[25:13.960 --> 25:15.140]  So how do they do it?
[25:15.140 --> 25:17.680]  Well, the answer is using varactor diodes.
[25:18.080 --> 25:18.220]  Okay.
[25:18.220 --> 25:35.180]  So varactor diodes are used in today's electronics to tune, all right, circuits so that you have this ability to center on a frequency range of interest.
[25:35.180 --> 25:36.060]  Okay?
[25:36.060 --> 25:52.440]  So it's much easier to generate a variable voltage to provide the voltage needed by the diode across itself to change the capacitance using pure electronics.
[25:52.900 --> 25:58.280]  Unlike here, where the capacitance needs to be changed by physical means.
[25:58.280 --> 25:58.880]  Okay?
[25:58.880 --> 25:58.900]  Okay.
[25:59.000 --> 26:05.120]  Ito, mavavari mo yung capacitance electronically or electrically for that matter.
[26:05.840 --> 26:06.060]  Okay?
[26:06.700 --> 26:11.220]  So they are also called voltage variable capacitance diodes.
[26:11.700 --> 26:13.520]  Varactor diodes.
[26:13.700 --> 26:13.880]  Okay?
[26:14.480 --> 26:14.840]  All right.
[26:15.040 --> 26:19.120]  So I don't know if that's probably enough information.
[26:19.720 --> 26:19.900]  Okay?
[26:20.380 --> 26:24.720]  And if you have any questions about it, of course, feel free to ask.
[26:25.280 --> 26:25.580]  All right?
[26:25.580 --> 26:26.100]  Okay.
[26:26.240 --> 26:27.940]  Here's another kind of diode.
[26:28.200 --> 26:37.060]  And as computer science students, you'll hear a lot more of these mentioned again and again, the particular name, Scott Key.
[26:37.700 --> 26:38.060]  All right?
[26:38.460 --> 26:48.840]  So Scott Key diodes are a special, again, specialized kind of diode where you have exactly the opposite design.
[26:49.360 --> 26:49.640]  All right?
[26:49.640 --> 26:53.860]  When you talk about varactor diodes, you're trying to maximize the capacitance.
[26:53.860 --> 26:56.920]  In Scott Key diodes, it's the exact opposite.
[26:57.240 --> 26:59.740]  You're trying to minimize the capacitance on the junction.
[27:00.760 --> 27:00.980]  All right?
[27:01.700 --> 27:09.240]  And not only that, using some special internal design techniques.
[27:09.580 --> 27:09.780]  All right?
[27:10.360 --> 27:19.560]  Scott Key diodes are designed so that they can switch at extremely high speeds.
[27:20.380 --> 27:20.640]  All right?
[27:20.640 --> 27:21.260]  Okay.
[27:21.260 --> 27:28.380]  Ordinary silicon diodes cannot turn on and off very, very quickly.
[27:28.800 --> 27:31.660]  They take a finite amount of time.
[27:32.560 --> 27:40.520]  And typically, the bigger or heavier the junction of the diode, meaning that it's designed for higher currents of operation,
[27:40.520 --> 27:48.160]  the slower or the longer it takes for the diode to switch off in particular.
[27:48.160 --> 27:48.680]  Okay?
[27:48.680 --> 27:49.240]  Okay?
[27:49.240 --> 27:49.300]  Okay?
[27:50.020 --> 27:57.600]  Now, Scott Key diodes have been designed so that they can switch off and on very, very quickly.
[27:58.460 --> 28:01.140]  So what's this?
[28:01.140 --> 28:11.480]  The claim to fame of these guys, given that they have the ability to switch on and off, is that they can be used in high frequency operation circuits.
[28:12.160 --> 28:12.400]  All right?
[28:12.400 --> 28:17.360]  Particularly for turning on and off or gating.
[28:18.460 --> 28:18.820]  All right?
[28:19.520 --> 28:20.760]  Current through.
[28:21.560 --> 28:24.200]  And so where will you find them being applied?
[28:24.200 --> 28:54.180]  All right.
[28:54.180 --> 29:08.260]  It's possible nowadays because people have redesigned the basic power supply such that it now operates at very, very high frequency.
[29:08.260 --> 29:20.980]  So unlike before where traditional transformers are limited to operating at the line frequency provided, which is 50 or 60 hertz.
[29:21.980 --> 29:22.260]  All right?
[29:22.720 --> 29:25.460]  Thus, transformers were big and bulky.
[29:26.300 --> 29:26.680]  All right?
[29:26.680 --> 29:37.680]  Nowadays, these switch mode power supplies are operating at frequencies of 80 kilohertz, 100 kilohertz, way above.
[29:37.960 --> 29:38.360]  All right?
[29:38.400 --> 29:39.760]  Our ability to hear.
[29:40.340 --> 29:44.800]  And because they are doing that, the transformers are now extremely small.
[29:44.800 --> 29:54.380]  So if you look over here where I'm pointing, for example, this is actually a transformer that's rated at something like 50 or 60 watts.
[29:54.700 --> 30:00.960]  So this little tiny thing here is a transformer that's rated at 50 or 60 watts.
[30:00.960 --> 30:11.540]  Whereas traditionally, a transformer would be something that is at least this big, what I'm forming here in my hand.
[30:12.120 --> 30:19.280]  The transformer for a 50 to 60 watt rating would be about this big if it were operating at 60 hertz.
[30:19.280 --> 30:23.840]  So now it is only this big, all right?
[30:23.840 --> 30:32.480]  It's only this big because this thing is operating at at least 40 kilohertz and probably more.
[30:33.400 --> 30:33.460]  Okay?
[30:33.880 --> 30:36.180]  So that's the beauty of that one.
[30:36.280 --> 30:45.320]  Now, the thing here is when you're operating at 40, 80 kilohertz or something like that, the output of this circuit is still AC.
[30:45.740 --> 30:47.840]  We need to convert it into DC.
[30:47.840 --> 30:55.780]  And so you'd recognize that this AC to DC conversion must be done using diodes.
[30:56.600 --> 30:57.400]  Rectification.
[30:58.280 --> 31:00.280]  So the point here, I'm pointing the wrong way.
[31:00.640 --> 31:00.780]  All right?
[31:00.840 --> 31:03.240]  So the output here, all right, is DC.
[31:03.780 --> 31:04.060]  All right?
[31:04.100 --> 31:04.640]  Is DC.
[31:05.060 --> 31:12.820]  So from AC in the transformer, it is made into DC through rectification.
[31:12.820 --> 31:23.600]  That means that the diodes here must be able to do their job at a frequency of 80 kilohertz.
[31:23.600 --> 31:25.100]  All right?
[31:25.100 --> 31:29.140]  And ordinary diodes cannot operate at 80 kilohertz.
[31:29.220 --> 31:34.120]  That's way too fast for them to switch on and off properly.
[31:35.000 --> 31:35.280]  All right?
[31:35.280 --> 31:43.620]  So the output of this guy, all right, the output diode, the rectifier diode for this guy is a Scott Key diode.
[31:44.040 --> 31:44.300]  All right?
[31:44.720 --> 31:46.180]  It's a Scott Key diode.
[31:47.620 --> 31:48.240]  There you go.
[31:48.240 --> 32:02.640]  So this is one of those modern designs that has, well, is now extremely, you know, well used, right?
[32:02.640 --> 32:08.500]  Because of the proliferation of switch mode power systems.
[32:09.020 --> 32:09.140]  Okay?
[32:09.480 --> 32:17.980]  So switch mode, more or less the diodes, if there are diodes in there at the output section, are Scott Key diodes.
[32:18.360 --> 32:18.620]  Okay?
[32:19.040 --> 32:19.340]  All right.
[32:19.740 --> 32:20.600]  Are there questions?
[32:21.760 --> 32:22.120]  Questions?
[32:23.720 --> 32:26.400]  Can you tell if a diode is a Scott Key?
[32:26.780 --> 32:29.440]  Well, generally speaking, they look the same.
[32:30.260 --> 32:30.640]  All right?
[32:30.640 --> 32:33.920]  They look the same as ordinary silicon diodes.
[32:34.460 --> 32:42.940]  The only difference that you might notice about them is the fact that their number, what's printed on them.
[32:43.580 --> 32:47.520]  Our typical diodes are 1N, all right?
[32:48.500 --> 32:54.380]  1N4001, 1N4148, you know, things like that.
[32:55.540 --> 32:57.600]  1N60, which is germanium.
[32:57.700 --> 32:58.400]  How did we know?
[32:58.400 --> 33:00.320]  Well, you just have to be familiar.
[33:00.640 --> 33:07.700]  With Scott Key diodes, there's, you know, there are certain manufacturers that they have named them IS, all right?
[33:07.800 --> 33:11.420]  Which just clues you in that, hey, this is a different thing.
[33:11.520 --> 33:12.700]  It's not a 1N.
[33:12.700 --> 33:20.500]  So the 1S might normally imply that it is a Scott Key, but that's not a rule, all right?
[33:20.500 --> 33:29.560]  So you really have to look and see, all right?
[33:29.560 --> 33:31.280]  Google will tell you, all right?
[33:31.280 --> 33:41.900]  The other thing that you would probably notice with the Scott Key diode, all right, if you get the chance to test one, is that it's forward voltage, all right?
[33:41.900 --> 33:51.740]  The forward voltage of the diode, the forward voltage of the diode, when you test it, you'll see that the forward voltage is equal to, you know, 0.2 to about 0.3 volts.
[33:51.740 --> 33:55.300]  So it will look like it is a germanium diode.
[33:55.300 --> 33:59.900]  The forward voltage is very, very small, all right?
[33:59.900 --> 34:07.200]  But the other clue that you'll find is that its forward conduction curve is very, very sharp.
[34:07.600 --> 34:13.120]  So unlike the germanium that does start at 0.2 also, it has a lazy curve.
[34:13.660 --> 34:16.940]  So you'll know that this is a germanium diode, right?
[34:16.940 --> 34:23.760]  And the other one, the Scott Key, all right, the Scott Key, has a much sharper curve.
